job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,complation_time_ordered,shortened_completion_time
0,80,31,21550,1086,1182,-96
1,87,70,25950,1582,2084,-502
2,88,217,21050,2733,2734,-1
3,89,245,22000,2636,3286,-650
4,86,337,25450,3234,3786,-552
5,86,361,23650,3224,3731,-507
6,85,371,27200,3033,4484,-1451
7,82,632,23450,3425,4582,-1157
8,82,791,22100,4124,4883,-759
9,90,892,25200,5031,6528,-1497
10,88,1184,22400,5968,8189,-2221
11,87,1357,25950,6021,9683,-3662
12,90,1360,22500,6284,10828,-4544
13,87,1451,24600,6584,14028,-7444
14,81,1552,22500,7271,15678,-8407
15,81,1707,19800,7184,15433,-8249
16,80,1792,23800,7487,9539,-2052
17,89,1975,24700,16382,12139,4243
18,86,1989,24100,10139,13332,-3193
19,83,2200,22600,11339,15389,-4050
20,90,2256,27450,9876,17632,-7756
21,89,2508,26500,10674,8586,2088
22,90,2530,27000,11521,8968,2553
23,81,2652,21150,11424,9468,1956
24,89,2775,22900,9987,10370,-383
25,90,2889,27000,11087,11523,-436
26,87,2897,24150,11087,12018,-931
27,89,3182,22000,12987,12584,403
28,90,3238,23850,12984,14034,-1050
29,80,3274,22900,13083,14734,-1651
30,90,3404,24300,15037,15689,-652
31,88,3457,23300,15636,17239,-1603
32,89,3501,24250,15282,18889,-3607
33,84,3529,23100,15587,20689,-5102
34,86,3789,25450,16136,22284,-6148
35,86,3969,20050,16031,23834,-7803
36,88,4059,25100,17285,25884,-8599
37,86,4079,22750,17034,26484,-9450
38,90,4134,24300,17335,27339,-10004
39,88,4161,23300,18485,28184,-9699
40,90,4251,22950,18435,30289,-11854
41,83,4295,21700,18634,31389,-12755
42,86,4427,19600,16828,33334,-16506
43,84,4690,24450,18887,35089,-16202
44,81,4857,21600,19137,36984,-17847
45,88,5011,27350,23337,38584,-15247
46,88,5092,25550,24437,40089,-15652
47,80,5112,20650,24937,40686,-15749
48,80,5212,26500,29037,41084,-12047
49,85,5259,23150,29237,41739,-12502
50,90,5353,22050,29587,42389,-12802
51,90,5992,19800,31737,25478,6259
52,87,6053,21900,33287,26836,6451
53,86,6112,25000,34587,28436,6151
54,83,6202,24400,35490,30478,5012
55,80,6284,19750,34687,31178,3509
56,85,6286,21800,37183,32336,4847
57,88,6319,24650,37184,34178,3006
58,84,6355,24900,37283,36036,1247
59,85,6363,22250,36944,37736,-792
60,84,6496,21300,37387,38386,-999
61,81,6531,22050,40587,39428,1159
62,88,6573,22850,39737,40486,-749
63,85,6630,16400,40087,41528,-1441
64,88,6933,20600,27975,43128,-15153
65,89,6972,21550,28526,45136,-16610
66,83,7033,23050,29025,46378,-17353
67,86,7255,28600,29776,48536,-18760
68,82,7462,27050,31778,50036,-18258
69,88,7489,23750,32025,51828,-19803
70,82,7494,24800,32026,53428,-21402
71,82,7522,25250,32276,55078,-22802
72,88,7685,26000,36289,56878,-20589
73,88,7734,23300,36939,57378,-20439
74,83,7734,23950,35789,58428,-22639
75,83,7763,18550,36636,60036,-23400
76,81,7803,23400,37686,62328,-24642
77,80,7869,24250,38489,63828,-25339
78,81,7926,25650,38091,66028,-27937
79,82,7953,22550,38382,67078,-28696
80,89,8076,26050,39089,68128,-29039
81,85,8252,23150,39432,69728,-30296
82,89,8514,24250,40286,72378,-32092
83,82,8656,25250,40936,73928,-32992
84,85,8706,23150,41482,74686,-33204
85,80,8741,25600,39776,75736,-35960
86,83,8841,23500,40476,76836,-36360
87,88,8881,22850,41175,77336,-36161
88,80,9118,20200,41725,78528,-36803
89,84,9689,24450,42089,80528,-38439
90,82,9764,23000,42177,82086,-39909
91,82,9827,23450,42689,83186,-40497
92,82,9830,25250,42987,84678,-41691
93,83,9883,22150,43523,37838,5685
94,90,9974,25650,44220,39488,4732
95,89,9988,22000,44041,40724,3317
96,86,10151,26350,45227,42188,3039
97,88,10237,25100,45577,44324,1253
98,84,10280,22650,45870,45888,-18
99,86,10498,22300,46727,46888,-161
100,85,10544,23150,47173,48524,-1351
101,84,10795,25800,44036,51024,-6988
102,80,10933,24700,46137,53124,-6987
103,82,10946,21650,46636,54874,-8238
104,82,10951,23900,46941,56088,-9147
105,80,10991,21100,46441,56524,-10083
106,83,11260,20800,47941,57138,-9197
107,82,11323,22550,53891,58238,-4347
108,87,11350,22350,56041,59338,-3297
109,90,11358,26100,56423,61374,-4951
110,81,11430,22950,58091,61874,-3783
111,86,11501,24100,58023,63474,-5451
112,87,11586,25500,58641,64674,-6033
113,87,11872,20550,59438,66274,-6836
114,80,11916,26500,59285,67824,-8539
