job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,finish_num,shortened_completion_timejob_id_order,tasks_num_of_single_job_order,task_generation_time_order,total_time_order,complation_time_ordered,finish_num
0,80,31,21550,1086,80,-96,0,80,31,21550,1182,80
1,87,70,25950,1582,87,-502,1,87,70,25950,2084,87
2,88,217,21050,2733,88,-1,2,88,217,21050,2734,88
3,89,245,22000,2636,89,-650,3,89,245,22000,3286,89
4,86,337,25450,3234,86,-552,4,86,337,25450,3786,86
5,86,361,23650,3224,86,-507,5,86,361,23650,3731,86
6,85,371,27200,3033,85,-1451,6,85,371,27200,4484,85
7,82,632,23450,3425,82,-1157,7,82,632,23450,4582,82
8,82,791,22100,4124,82,-759,8,82,791,22100,4883,82
9,90,892,25200,5031,90,-1497,9,90,892,25200,6528,90
10,88,1184,22400,5968,88,-2221,10,88,1184,22400,8189,88
11,87,1357,25950,6021,87,-3662,11,87,1357,25950,9683,87
12,90,1360,22500,6284,90,-4544,12,90,1360,22500,10828,90
13,87,1451,24600,6584,87,-7444,13,87,1451,24600,14028,87
14,81,1552,22500,7271,81,-8407,14,81,1552,22500,15678,81
15,81,1707,19800,7184,81,-8249,15,81,1707,19800,15433,81
16,80,1792,23800,7487,80,-2052,16,80,1792,23800,9539,80
17,89,1975,24700,16382,89,4243,17,89,1975,24700,12139,89
18,86,1989,24100,10139,86,-3193,18,86,1989,24100,13332,86
19,83,2200,22600,11339,83,-4050,19,83,2200,22600,15389,83
20,90,2256,27450,9876,90,-7756,20,90,2256,27450,17632,90
21,89,2508,26500,10674,89,2088,21,89,2508,26500,8586,89
22,90,2530,27000,11521,90,2553,22,90,2530,27000,8968,90
23,81,2652,21150,11424,81,1956,23,81,2652,21150,9468,81
24,89,2775,22900,9987,89,-383,24,89,2775,22900,10370,89
25,90,2889,27000,11087,90,-436,25,90,2889,27000,11523,90
26,87,2897,24150,11087,87,-931,26,87,2897,24150,12018,87
27,89,3182,22000,12987,89,403,27,89,3182,22000,12584,89
28,90,3238,23850,12984,90,-1050,28,90,3238,23850,14034,90
29,80,3274,22900,13083,80,-1651,29,80,3274,22900,14734,80
30,90,3404,24300,15037,90,-652,30,90,3404,24300,15689,90
31,88,3457,23300,15636,88,-1603,31,88,3457,23300,17239,88
32,89,3501,24250,15282,89,-3607,32,89,3501,24250,18889,89
33,84,3529,23100,15587,84,-5102,33,84,3529,23100,20689,84
34,86,3789,25450,16136,86,-6148,34,86,3789,25450,22284,86
35,86,3969,20050,16031,86,-7803,35,86,3969,20050,23834,86
36,88,4059,25100,17285,88,-8599,36,88,4059,25100,25884,88
37,86,4079,22750,17034,86,-9450,37,86,4079,22750,26484,86
38,90,4134,24300,17335,90,-10004,38,90,4134,24300,27339,90
39,88,4161,23300,18485,88,-9699,39,88,4161,23300,28184,88
40,90,4251,22950,18435,90,-11854,40,90,4251,22950,30289,90
41,83,4295,21700,18634,83,-12755,41,83,4295,21700,31389,83
42,86,4427,19600,16828,86,-16506,42,86,4427,19600,33334,86
43,84,4690,24450,18887,84,-16202,43,84,4690,24450,35089,84
44,81,4857,21600,19137,81,-17847,44,81,4857,21600,36984,81
45,88,5011,27350,23337,88,-15247,45,88,5011,27350,38584,88
46,88,5092,25550,24437,88,-15652,46,88,5092,25550,40089,88
47,80,5112,20650,24937,80,-15749,47,80,5112,20650,40686,80
48,80,5212,26500,29037,80,-12047,48,80,5212,26500,41084,80
49,85,5259,23150,29237,85,-12502,49,85,5259,23150,41739,85
50,90,5353,22050,29587,90,-12802,50,90,5353,22050,42389,90
51,90,5992,19800,31737,90,6259,51,90,5992,19800,25478,90
52,87,6053,21900,33287,87,6451,52,87,6053,21900,26836,87
53,86,6112,25000,34587,86,6151,53,86,6112,25000,28436,86
54,83,6202,24400,35490,83,5012,54,83,6202,24400,30478,83
55,80,6284,19750,34687,80,3509,55,80,6284,19750,31178,80
56,85,6286,21800,37183,85,4847,56,85,6286,21800,32336,85
57,88,6319,24650,37184,88,3006,57,88,6319,24650,34178,88
58,84,6355,24900,37283,84,1247,58,84,6355,24900,36036,84
59,85,6363,22250,36944,85,-792,59,85,6363,22250,37736,85
60,84,6496,21300,37387,84,-999,60,84,6496,21300,38386,84
61,81,6531,22050,40587,81,1159,61,81,6531,22050,39428,81
62,88,6573,22850,39737,88,-749,62,88,6573,22850,40486,88
63,85,6630,16400,40087,85,-1441,63,85,6630,16400,41528,85
64,88,6933,20600,27975,88,-15153,64,88,6933,20600,43128,88
65,89,6972,21550,28526,89,-16610,65,89,6972,21550,45136,89
66,83,7033,23050,29025,83,-17353,66,83,7033,23050,46378,83
67,86,7255,28600,29776,86,-18760,67,86,7255,28600,48536,86
68,82,7462,27050,31778,82,-18258,68,82,7462,27050,50036,82
69,88,7489,23750,32025,88,-19803,69,88,7489,23750,51828,88
70,82,7494,24800,32026,82,-21402,70,82,7494,24800,53428,82
71,82,7522,25250,32276,82,-22802,71,82,7522,25250,55078,82
72,88,7685,26000,36289,88,-20589,72,88,7685,26000,56878,88
73,88,7734,23300,36939,88,-20439,73,88,7734,23300,57378,88
74,83,7734,23950,35789,83,-22639,74,83,7734,23950,58428,83
75,83,7763,18550,36636,83,-23400,75,83,7763,18550,60036,83
76,81,7803,23400,37686,81,-24642,76,81,7803,23400,62328,81
77,80,7869,24250,38489,80,-25339,77,80,7869,24250,63828,80
78,81,7926,25650,38091,81,-27937,78,81,7926,25650,66028,81
79,82,7953,22550,38382,82,-28696,79,82,7953,22550,67078,82
80,89,8076,26050,39089,89,-29039,80,89,8076,26050,68128,89
81,85,8252,23150,39432,85,-30296,81,85,8252,23150,69728,85
82,89,8514,24250,40286,89,-32092,82,89,8514,24250,72378,89
83,82,8656,25250,40936,82,-32992,83,82,8656,25250,73928,82
84,85,8706,23150,41482,85,-33204,84,85,8706,23150,74686,85
85,80,8741,25600,39776,80,-35960,85,80,8741,25600,75736,80
86,83,8841,23500,40476,83,-36360,86,83,8841,23500,76836,83
87,88,8881,22850,41175,88,-36161,87,88,8881,22850,77336,88
88,80,9118,20200,41725,80,-36803,88,80,9118,20200,78528,80
89,84,9689,24450,42089,84,-38439,89,84,9689,24450,80528,84
90,82,9764,23000,42177,82,-39909,90,82,9764,23000,82086,82
91,82,9827,23450,42689,82,-40497,91,82,9827,23450,83186,82
92,82,9830,25250,42987,82,-41691,92,82,9830,25250,84678,82
93,83,9883,22150,43523,83,5685,93,83,9883,22150,37838,83
94,90,9974,25650,44220,90,4732,94,90,9974,25650,39488,90
95,89,9988,22000,44041,89,3317,95,89,9988,22000,40724,89
96,86,10151,26350,45227,86,3039,96,86,10151,26350,42188,86
97,88,10237,25100,45577,88,1253,97,88,10237,25100,44324,88
98,84,10280,22650,45870,84,-18,98,84,10280,22650,45888,84
99,86,10498,22300,46727,86,-161,99,86,10498,22300,46888,86
100,85,10544,23150,47173,85,-1351,100,85,10544,23150,48524,85
101,84,10795,25800,44036,84,-6988,101,84,10795,25800,51024,84
102,80,10933,24700,46137,80,-6987,102,80,10933,24700,53124,80
103,82,10946,21650,46636,82,-8238,103,82,10946,21650,54874,82
104,82,10951,23900,46941,82,-9147,104,82,10951,23900,56088,82
105,80,10991,21100,46441,80,-10083,105,80,10991,21100,56524,80
106,83,11260,20800,47941,83,-9197,106,83,11260,20800,57138,83
107,82,11323,22550,53891,82,-4347,107,82,11323,22550,58238,82
108,87,11350,22350,56041,87,-3297,108,87,11350,22350,59338,87
109,90,11358,26100,56423,90,-4951,109,90,11358,26100,61374,90
110,81,11430,22950,58091,81,-3783,110,81,11430,22950,61874,81
111,86,11501,24100,58023,86,-5451,111,86,11501,24100,63474,86
112,87,11586,25500,58641,87,-6033,112,87,11586,25500,64674,87
113,87,11872,20550,59438,87,-6836,113,87,11872,20550,66274,87
114,80,11916,26500,59285,80,-8539,114,80,11916,26500,67824,80
115,82,12146,23000,60136,82,-9238,115,82,12146,23000,69374,82
116,90,12227,26100,60235,90,-10839,116,90,12227,26100,71074,90
117,90,12355,25200,60686,90,-11688,117,90,12355,25200,72374,90
118,80,12413,22000,60785,80,-13103,118,80,12413,22000,73888,80
119,86,12439,23200,61238,86,-12986,119,86,12439,23200,74224,86
120,89,12831,23350,49385,89,-27439,120,89,12831,23350,76824,89
121,83,12923,18550,49131,83,-29793,121,83,12923,18550,78924,83
122,88,13166,21950,49686,88,-29252,122,88,13166,21950,78938,88
123,89,13345,26950,50286,89,-29702,123,89,13345,26950,79988,89
124,88,13348,25100,50895,88,-30693,124,88,13348,25100,81588,88
125,83,13712,20800,51986,83,-30252,125,83,13712,20800,82238,83
126,80,13747,20650,52031,80,-31707,126,80,13747,20650,83738,80
127,86,13941,23650,52685,86,-31989,127,86,13941,23650,84674,86
128,89,13963,24700,52531,89,-32793,128,89,13963,24700,85324,89
129,83,14083,22600,53936,83,-32902,129,83,14083,22600,86838,83
130,83,14111,24850,54086,83,-33838,130,83,14111,24850,87924,83
131,89,14142,25600,54281,89,-34793,131,89,14142,25600,89074,89
132,84,14280,23550,54545,84,-36129,132,84,14280,23550,90674,84
133,88,14379,26900,55331,88,-36443,133,88,14379,26900,91774,88
134,86,14613,23650,55936,86,-37452,134,86,14613,23650,93388,86
135,82,14753,21650,57238,82,-38250,135,82,14753,21650,95488,82
136,82,14851,20300,56981,82,-39157,136,82,14851,20300,96138,82
137,88,15385,24650,60433,88,-37405,137,88,15385,24650,97838,88
138,88,15476,26900,60388,88,-38686,138,88,15476,26900,99074,88
139,88,15512,24650,62083,88,-38105,139,88,15512,24650,100188,88
140,90,15525,24750,62688,90,-39436,140,90,15525,24750,102124,90
141,82,15557,23000,60395,82,-42729,141,82,15557,23000,103124,82
142,86,15841,22300,60786,86,-43902,142,86,15841,22300,104688,86
143,88,15900,24200,61181,88,-45607,143,88,15900,24200,106788,88
144,90,16002,23400,61445,90,-46443,144,90,16002,23400,107888,90
145,81,16032,25200,63186,81,-45438,145,81,16032,25200,108624,81
146,89,16033,26500,63686,89,-47138,146,89,16033,26500,110824,89
147,83,16109,17650,64736,83,-48202,147,83,16109,17650,112938,83
148,86,16194,25900,64885,86,-49539,148,86,16194,25900,114424,86
149,84,16439,22200,65631,84,-49557,149,84,16439,22200,115188,84
150,85,16562,25400,68036,85,-49252,150,85,16562,25400,117288,85
151,83,16578,22150,66745,83,-52093,151,83,16578,22150,118838,83
152,87,16635,25500,68635,87,-51789,152,87,16635,25500,120424,87
153,85,16649,23150,67985,85,-53039,153,85,16649,23150,121024,85
154,83,16710,23050,68295,83,10807,154,83,16710,23050,57488,83
155,80,16720,22900,68586,80,10100,155,80,16720,22900,58486,80
156,87,16854,28650,70795,87,11357,156,87,16854,28650,59438,87
157,82,16889,20750,71795,82,11659,157,82,16889,20750,60136,82
158,88,16898,24650,70686,88,9948,158,88,16898,24650,60738,88
159,87,16924,23700,71985,87,10800,159,87,16924,23700,61185,87
160,82,16985,24350,72281,82,10596,160,82,16985,24350,61685,82
161,87,17097,26850,73035,87,10699,161,87,17097,26850,62336,87
162,90,17219,25200,74036,90,11200,162,90,17219,25200,62836,90
163,88,17367,21050,74335,88,10797,163,88,17367,21050,63538,88
164,83,17592,23500,75086,83,10798,164,83,17592,23500,64288,83
165,83,17766,19900,75545,83,10260,165,83,17766,19900,65285,83
166,85,18144,24950,77186,85,11401,166,85,18144,24950,65785,85
167,85,18236,23150,77035,85,10399,167,85,18236,23150,66636,85
168,87,18294,23700,67184,87,349,168,87,18294,23700,66835,87
169,81,18543,22050,67783,81,448,169,81,18543,22050,67335,81
170,81,18628,22950,68940,81,1105,170,81,18628,22950,67835,81
171,82,18733,24800,69540,82,604,171,82,18733,24800,68936,82
172,87,18780,22350,69833,87,395,172,87,18780,22350,69438,87
173,87,18975,25500,70233,87,148,173,87,18975,25500,70085,87
174,84,19108,19500,70584,84,-254,174,84,19108,19500,70838,84
175,86,19287,21850,70896,86,-239,175,86,19287,21850,71135,86
176,81,19361,25650,71533,81,-102,176,81,19361,25650,71635,81
177,90,19464,25200,72940,90,52,177,90,19464,25200,72888,90
178,80,19474,24700,72440,80,-996,178,80,19474,24700,73436,80
179,84,19559,19950,73583,84,-603,179,84,19559,19950,74186,84
180,83,19601,24850,73546,83,-940,180,83,19601,24850,74486,83
181,82,19670,27500,74034,82,-1352,181,82,19670,27500,75386,82
182,83,19726,23950,76184,83,149,182,83,19726,23950,76035,83
183,85,19770,24950,75183,85,-1352,183,85,19770,24950,76535,85
184,81,19786,21150,76246,81,-640,184,81,19786,21150,76886,81
185,87,19949,23250,77333,87,-153,185,87,19949,23250,77486,87
186,90,19953,26100,77346,90,-1140,186,90,19953,26100,78486,90
187,84,20032,24000,77734,84,-1352,187,84,20032,24000,79086,84
188,90,20073,25650,77933,90,-1855,188,90,20073,25650,79788,90
189,87,20247,25950,78433,87,-2705,189,87,20247,25950,81138,87
190,84,20270,20850,80146,84,-1642,190,84,20270,20850,81788,84
191,81,20296,18900,79083,81,-3305,191,81,20296,18900,82388,81
192,85,20301,26300,80233,85,-2653,192,85,20301,26300,82886,85
193,82,20408,23000,83140,82,-296,193,82,20408,23000,83436,82
194,85,20454,24950,84140,85,102,194,85,20454,24950,84038,85
195,84,20463,25800,82383,84,-2702,195,84,20463,25800,85085,84
196,84,20496,23100,83784,84,-1852,196,84,20496,23100,85636,84
197,89,20509,26500,84283,89,-1952,197,89,20509,26500,86235,89
198,90,20701,20700,84934,90,-1702,198,90,20701,20700,86636,90
199,89,20726,28300,85683,89,-1205,199,89,20726,28300,86888,89
200,84,20799,23100,87233,84,-655,200,84,20799,23100,87888,84
201,84,20826,23550,87783,84,-652,201,84,20826,23550,88435,84
202,86,20904,26350,87846,86,-940,202,86,20904,26350,88786,86
203,85,21137,22250,88883,85,-205,203,85,21137,22250,89088,85
204,86,21144,24100,89383,86,-553,204,86,21144,24100,89936,86
205,86,21369,26800,90433,86,345,205,86,21369,26800,90088,86
206,87,21407,21900,90433,87,-253,206,87,21407,21900,90686,87
207,87,21760,27750,91046,87,-42,207,87,21760,27750,91088,87
208,90,21903,25200,91483,90,145,208,90,21903,25200,91338,90
209,80,21919,17500,91840,80,-146,209,80,21919,17500,91986,80
210,80,22132,19750,93783,80,1348,210,80,22132,19750,92435,80
211,84,22171,23100,92890,84,52,211,84,22171,23100,92838,84
212,87,22178,25950,93390,87,-48,212,87,22178,25950,93438,87
213,84,22210,21300,95184,84,699,213,84,22210,21300,94485,84
214,80,22289,22450,95233,80,147,214,80,22289,22450,95086,80
215,80,22293,23800,95046,80,-392,215,80,22293,23800,95438,80
216,80,22482,21550,95732,80,-54,216,80,22482,21550,95786,80
217,83,22487,22150,98834,83,2646,217,83,22487,22150,96188,83
218,90,22502,25200,98640,90,1552,218,90,22502,25200,97088,90
219,85,22516,25400,97296,85,-42,219,85,22516,25400,97338,85
220,83,22526,19900,99690,83,1854,220,83,22526,19900,97836,83
221,81,22585,21150,99246,81,860,221,81,22585,21150,98386,81
222,89,22623,23800,99234,89,248,222,89,22623,23800,98986,89
223,83,22802,19000,101690,83,2214,223,83,22802,19000,99476,83
224,86,22814,23650,101433,86,1095,224,86,22814,23650,100338,86
225,84,22864,24000,101883,84,357,225,84,22864,24000,101526,84
226,86,22964,20950,102496,86,467,226,86,22964,20950,102029,86
227,85,23360,24950,103190,85,1352,227,85,23360,24950,101838,85
228,89,23738,22900,100492,89,-1793,228,89,23738,22900,102285,89
229,88,23741,21050,100932,88,-1953,229,88,23741,21050,102885,88
230,82,23864,23900,101541,82,-1844,230,82,23864,23900,103385,82
231,82,23979,23000,102091,82,-1395,231,82,23979,23000,103486,82
232,80,24088,24250,103142,80,-1096,232,80,24088,24250,104238,80
233,82,24104,22550,103691,82,-1294,233,82,24104,22550,104985,82
234,81,24192,24300,104642,81,-796,234,81,24192,24300,105438,81
235,90,24265,27900,104682,90,-1256,235,90,24265,27900,105938,90
236,85,24532,23600,105191,85,-1494,236,85,24532,23600,106685,85
237,80,24542,22450,105242,80,-2493,237,80,24542,22450,107735,80
238,86,24741,20950,107342,86,-546,238,86,24741,20950,107888,86
239,86,24804,23200,107832,86,-606,239,86,24804,23200,108438,86
240,86,24834,24550,107491,86,-1795,240,86,24834,24550,109286,86
241,86,24851,23650,107991,86,-2347,241,86,24851,23650,110338,86
242,87,24914,23250,107892,87,-2946,242,87,24914,23250,110838,87
243,85,25023,24500,108490,85,-3295,243,85,25023,24500,111785,85
244,87,25055,18750,108592,87,-3694,244,87,25055,18750,112286,87
245,88,25203,23750,109292,88,-3593,245,88,25203,23750,112885,88
246,85,25214,24950,109691,85,-3645,246,85,25214,24950,113336,85
247,85,25453,19100,110041,85,-3845,247,85,25453,19100,113886,85
248,90,25469,22950,111790,90,-2648,248,90,25469,22950,114438,90
249,83,25542,23500,112892,83,-2144,249,83,25542,23500,115036,83
250,84,25551,20400,113041,84,-2895,250,84,25551,20400,115936,84
251,83,25561,21250,113541,83,-3045,251,83,25561,21250,116586,83
252,89,25630,24700,113732,89,-3356,252,89,25630,24700,117088,89
253,86,25645,22750,113741,86,-3847,253,86,25645,22750,117588,86
254,86,25969,22300,114332,86,344,254,86,25969,22300,113988,86
255,80,25973,21100,114741,80,355,255,80,25973,21100,114386,80
256,83,26079,20800,116040,83,1054,256,83,26079,20800,114986,83
257,83,26169,24400,115982,83,496,257,83,26169,24400,115486,83
258,81,26240,20700,116590,81,807,258,81,26240,20700,115783,81
259,85,26297,25850,117082,85,894,259,85,26297,25850,116188,85
260,80,26678,24250,118240,80,1357,260,80,26678,24250,116883,80
261,87,26819,22350,119342,87,2259,261,87,26819,22350,117083,87
262,85,26975,18200,119940,85,2554,262,85,26975,18200,117386,85
263,81,27189,22500,121141,81,3453,263,81,27189,22500,117688,81
264,80,27262,24250,121032,80,2949,264,80,27262,24250,118083,80
265,84,27305,23100,121641,84,3005,265,84,27305,23100,118636,84
266,89,27338,27850,121992,89,2610,266,89,27338,27850,119382,89
267,84,27401,23550,119228,84,-704,267,84,27401,23550,119932,84
268,82,27537,23900,120228,82,-508,268,82,27537,23900,120736,82
269,84,27741,23550,120578,84,-358,269,84,27741,23550,120936,84
270,83,27755,22600,115937,83,-3804,270,83,27755,22600,119741,83
271,80,27815,23350,116087,80,-4600,271,80,27815,23350,120687,80
272,83,27833,23050,116286,83,-5451,272,83,27833,23050,121737,83
273,90,28238,27900,118986,90,-3501,273,90,28238,27900,122487,90
274,89,28300,25150,119841,89,-3546,274,89,28300,25150,123387,89
275,81,28309,20250,119435,81,-4602,275,81,28309,20250,124037,81
276,84,28336,23550,119935,84,6907,276,84,28336,23550,113028,84
277,83,28388,22150,119787,83,4659,277,83,28388,22150,115128,83
278,90,28473,25650,120336,90,3647,278,90,28473,25650,116689,90
279,90,28773,25200,120439,90,1700,279,90,28773,25200,118739,90
280,88,28887,21500,121036,88,1247,280,88,28887,21500,119789,88
281,81,28944,23850,121685,81,107,281,81,28944,23850,121578,81
282,80,29421,18850,122235,80,-204,282,80,29421,18850,122439,80
283,80,29493,21550,122587,80,-2452,283,80,29493,21550,125039,80
284,85,29525,24950,123091,85,-3137,284,85,29525,24950,126228,85
285,88,29656,24650,124141,88,-4698,285,88,29656,24650,128839,88
286,80,29657,24250,124185,80,-6154,286,80,29657,24250,130339,80
287,88,29667,25100,124237,88,-8202,287,88,29667,25100,132439,88
288,87,29828,25050,124786,87,-9153,288,87,29828,25050,133939,87
289,80,30105,20650,126185,80,-9143,289,80,30105,20650,135328,80
290,83,30113,24850,126689,83,-11050,290,83,30113,24850,137739,83
291,87,30207,24150,128541,87,-11348,291,87,30207,24150,139889,87
292,81,30239,22050,127685,81,-13093,292,81,30239,22050,140778,81
293,84,30246,20400,128536,84,-12792,293,84,30246,20400,141328,84
294,90,30529,23400,129591,90,-13798,294,90,30529,23400,143389,90
295,86,30571,21850,129686,86,-14592,295,86,30571,21850,144278,86
296,88,30873,23750,130339,88,-15500,296,88,30873,23750,145839,88
297,82,30949,19400,131337,82,-16291,297,82,30949,19400,147628,82
298,81,30994,20250,131236,81,-17942,298,81,30994,20250,149178,81
299,82,31173,23000,131685,82,-18493,299,82,31173,23000,150178,82
300,84,31325,24900,132091,84,-20687,300,84,31325,24900,152778,84
301,86,31585,19600,133336,86,-20942,301,86,31585,19600,154278,86
302,80,31598,24250,133285,80,-24493,302,80,31598,24250,157778,80
303,84,31704,20400,133741,84,-25537,303,84,31704,20400,159278,84
304,86,31771,22300,134385,86,-26454,304,86,31771,22300,160839,86
305,80,32146,20200,134935,80,-26904,305,80,32146,20200,161839,80
306,83,32259,22600,135387,83,-27552,306,83,32259,22600,162939,83
307,89,32285,27850,136485,89,-29054,307,89,32285,27850,165539,89
308,90,32400,26550,137085,90,-29954,308,90,32400,26550,167039,90
309,80,32486,19300,131229,80,-36749,309,80,32486,19300,167978,80
310,83,32504,23950,130630,83,-39009,310,83,32504,23950,169639,83
311,90,32562,25650,131189,90,-40839,311,90,32562,25650,172028,90
312,87,32717,22800,132172,87,-40467,312,87,32717,22800,172639,87
313,87,32794,20550,131980,87,-42359,313,87,32794,20550,174339,87
314,80,32818,23350,132672,80,-42255,314,80,32818,23350,174927,80
315,89,32951,22450,133222,89,-42205,315,89,32951,22450,175427,89
316,83,32984,21700,135229,83,-40546,316,83,32984,21700,175775,83
317,86,33033,25000,134425,86,-42002,317,86,33033,25000,176427,86
318,88,33062,24650,135180,88,-42295,318,88,33062,24650,177475,88
319,83,33205,22600,135925,83,-41961,319,83,33205,22600,177886,83
320,86,33453,22300,136730,86,-42347,320,86,33453,22300,179077,86
321,83,33717,22150,137379,83,-42355,321,83,33717,22150,179734,83
322,86,33807,23650,138339,86,-41895,322,86,33807,23650,180234,86
323,85,33837,21800,138730,85,-42106,323,85,33837,21800,180836,85
324,82,34013,22550,139075,82,-42502,324,82,34013,22550,181577,82
325,84,34111,23550,139939,84,-42345,325,84,34111,23550,182284,84
326,87,34484,25500,140729,87,-42157,326,87,34484,25500,182886,87
327,83,34576,24400,141372,83,-42064,327,83,34576,24400,183436,83
328,83,35083,25300,141830,83,-42397,328,83,35083,25300,184227,83
329,83,35196,25300,143980,83,-40847,329,83,35196,25300,184827,83
330,82,35196,21200,144443,82,-40984,330,82,35196,21200,185427,82
331,88,35211,24650,144523,88,-41461,331,88,35211,24650,185984,88
332,85,35235,21800,144543,85,-42243,332,85,35235,21800,186786,85
333,89,35795,23800,147823,89,-39702,333,89,35795,23800,187525,89
334,88,35830,25100,147393,88,-40643,334,88,35830,25100,188036,88
335,87,36136,21000,148973,87,-39613,335,87,36136,21000,188586,87
336,87,36320,21000,149473,87,-39813,336,87,36320,21000,189286,87
337,80,36415,22900,150393,80,-39243,337,80,36415,22900,189636,80
338,87,36535,25500,151523,87,-38654,338,87,36535,25500,190177,87
339,83,36539,23950,153173,83,-37213,339,83,36539,23950,190386,83
340,84,36884,20400,154993,84,-35993,340,84,36884,20400,190986,84
341,81,37042,22950,161543,81,-30443,341,81,37042,22950,191986,81
342,83,37056,21700,162043,83,-30493,342,83,37056,21700,192536,83
343,82,37071,22550,162723,82,-30011,343,82,37071,22550,192734,82
344,87,37302,22350,165643,87,-27593,344,87,37302,22350,193236,87
345,85,37374,24500,165823,85,-28061,345,85,37374,24500,193884,85
346,82,37414,27500,168123,82,-26504,346,82,37414,27500,194627,82
347,86,37488,20500,168623,86,-26311,347,86,37488,20500,194934,86
348,80,37644,17950,170423,80,-24813,348,80,37644,17950,195236,80
349,81,37739,21600,170593,81,-24943,349,81,37739,21600,195536,81
350,87,37868,26400,171643,87,-24693,350,87,37868,26400,196336,87
351,85,37981,18650,174423,85,-22061,351,85,37981,18650,196484,85
352,87,38183,23700,176293,87,-20793,352,87,38183,23700,197086,87
353,81,38206,22950,180593,81,-17493,353,81,38206,22950,198086,81
354,90,38269,24300,183043,90,-15343,354,90,38269,24300,198386,90
355,84,38284,28500,183543,84,-15034,355,84,38284,28500,198577,84
356,90,38329,24750,183773,90,-15563,356,90,38329,24750,199336,90
357,81,38331,20700,183273,81,-16302,357,81,38331,20700,199575,81
358,88,38752,26900,186973,88,-13413,358,88,38752,26900,200386,88
359,90,38824,26100,190223,90,-10811,359,90,38824,26100,201034,90
360,86,38903,24100,190043,86,-11434,360,86,38903,24100,201477,86
361,86,39009,25000,193193,86,-8991,361,86,39009,25000,202184,86
362,87,39054,21450,193693,87,-8893,362,87,39054,21450,202586,87
363,89,39074,25600,194673,89,-8513,363,89,39074,25600,203186,89
364,87,39084,24150,195843,87,-8184,364,87,39084,24150,204027,87
365,83,39178,23950,161589,83,-43295,365,83,39178,23950,204884,83
366,83,39196,25300,162689,83,-42736,366,83,39196,25300,205425,83
367,90,39270,23850,162429,90,-43298,367,90,39270,23850,205727,90
368,80,39319,22450,163239,80,-43336,368,80,39319,22450,206575,80
369,87,39320,26400,163529,87,-43546,369,87,39320,26400,207075,87
370,84,39852,23100,164529,84,-43605,370,84,39852,23100,208134,84
371,85,39858,22250,165225,85,-43352,371,85,39858,22250,208577,85
372,80,40089,22900,165330,80,-43495,372,80,40089,22900,208825,80
373,89,40245,23350,165679,89,-43605,373,89,40245,23350,209284,89
374,86,40288,26350,166275,86,-43750,374,86,40288,26350,210025,86
375,87,40360,24150,166722,87,-43514,375,87,40360,24150,210236,87
376,89,40423,23800,167030,89,-43706,376,89,40423,23800,210736,89
377,83,40607,25300,168080,83,-43697,377,83,40607,25300,211777,83
378,90,40705,23400,168772,90,-43553,378,90,40705,23400,212325,90
