job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,complation_time_ordered,shortened_completion_time
0,89,468,119500,7058,6968,90
1,84,2130,87000,8679,11819,-3140
2,84,2800,77000,9719,13279,-3560
3,86,3553,73000,14428,13339,1089
4,88,3699,64000,14129,14159,-30
5,85,4404,92500,14489,18779,-4290
6,87,5434,83500,15529,15559,-30
7,80,6269,80000,17449,17319,130
8,90,7503,100000,19629,18839,790
9,89,7539,114500,21029,20529,500
10,81,8819,90500,22949,21699,1250
11,90,10094,75000,24288,22879,1409
12,80,11307,80000,26529,24279,2250
13,80,11507,75000,27029,24339,2690
14,82,11671,61000,28449,25159,3290
15,88,11772,79000,29788,26109,3679
16,82,12168,76000,26698,27419,-721
17,85,13025,72500,28198,28419,-221
18,87,14120,88500,30129,28469,1660
19,80,15402,75000,32529,30979,1550
20,84,15509,97000,33689,32919,770
21,87,15796,88500,35288,35339,-51
22,87,22665,88500,34459,38199,-3740
23,87,23201,98500,36179,37029,-850
24,83,25408,86500,37529,39419,-1890
25,81,25976,100500,39449,40839,-1390
26,86,26950,83000,40788,41659,-871
27,81,29064,115500,43529,46279,-2750
28,90,29629,75000,41629,47159,-5530
29,85,30024,87500,44418,48029,-3611
30,90,31010,95000,47179,51839,-4660
31,90,32724,70000,46036,45269,767
32,89,33112,84500,50449,49419,1030
33,90,34622,95000,50039,52659,-2620
34,84,37761,67000,50319,52789,-2470
35,81,38691,105500,58179,57279,900
36,86,38969,103000,61038,59029,2009
37,88,38987,114000,60029,63659,-3630
38,82,39132,101000,61449,68279,-6830
39,82,39977,91000,63679,68339,-4660
40,86,40294,73000,66949,69159,-2210
41,84,40722,92000,59609,70029,-10420
42,84,40940,77000,68288,73779,-5491
43,80,42056,75000,70529,65919,4610
44,88,45686,79000,73788,66949,6839
45,83,46195,86500,76029,74659,1370
47,87,47044,93500,77949,79279,-1330
47,87,47044,63000,71918,71839,79
48,86,47564,63000,72039,72079,-40
49,88,47668,69000,72929,74979,-2050
50,89,47831,84500,80179,79339,840
51,81,47936,60500,77418,71729,5689
52,86,48625,63000,81529,80159,1370
53,82,49778,71000,82029,80289,1740
54,83,52395,61500,87029,69209,17820
55,86,52604,93000,90288,81029,9259
56,84,52970,87000,93029,84779,8250
57,87,54503,98500,94449,81309,13140
58,80,56304,95000,96679,84839,11840
59,81,56576,65500,98029,80979,17050
60,84,57449,92000,98529,85659,12870
61,89,60450,114500,99949,88229,11720
62,84,61552,97000,101288,90339,10949
63,82,64160,91000,103529,93729,9800
64,88,64733,74000,83347,94088,-10741
65,89,68767,94500,106788,96939,9849
66,88,68916,84000,107679,97748,9931
67,90,70223,95000,110949,97809,13140
68,90,73554,90000,90299,103248,-12949
69,84,74957,77000,112288,96789,15499
70,90,75289,130000,113179,104729,8450
71,88,75665,94000,100339,100468,-129
72,90,78428,75000,100379,107939,-7560
73,88,79695,69000,101259,108748,-7489
