job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,complation_time_ordered,shortened_completion_time
0,82,1116,91400,6530,6529,-1
1,85,1583,112700,7240,11262,4022
2,85,2118,88400,11871,11915,44
3,89,3851,88600,12103,12008,-95
4,85,6078,55550,12429,14013,1584
5,85,9708,77600,16498,16909,411
6,88,10386,91250,16966,17051,85
7,81,12654,86850,21264,19843,-1421
8,81,14784,96750,21501,22818,1317
9,87,22077,67350,27530,27529,-1
11,88,23953,107300,29728,34135,4407
11,88,23953,80400,32248,34164,1916
12,80,25974,75100,34192,34176,-16
13,84,31429,89700,36919,39116,2197
14,84,33520,100500,39554,41763,2209
15,87,33680,97950,43722,41892,-1830
16,90,36215,137250,44166,44116,-50
17,81,37404,89100,46317,46942,625
18,81,39502,77850,48813,48929,116
19,87,39522,75900,47941,51473,3532
20,89,41490,120550,52941,53929,988
21,89,41635,89500,53984,56473,2489
22,89,41914,131800,56816,56942,126
23,88,42079,125900,59105,58731,-374
24,85,42328,119000,66317,61451,-4866
25,84,45514,90150,61912,61942,30
26,86,47536,106450,64198,63731,-467
27,90,52363,99900,68627,64651,-3976
28,82,53062,117050,69763,66821,-2942
29,84,58664,106800,69859,68623,-1236
30,88,60996,103850,74166,70151,-4015
31,89,61165,107950,74200,74837,637
32,83,61894,95500,76912,75132,-1780
33,86,61975,96550,79109,77676,-1433
34,85,63750,81200,79166,80132,966
35,85,66023,151850,81758,80658,-1100
36,85,67926,80300,81683,82676,993
37,80,71666,77350,81341,85658,4317
38,88,74743,140300,84911,86556,1645
39,84,75013,123900,86710,89843,3133
40,82,76986,90500,86945,88623,1678
41,86,77996,78100,89112,90135,1023
42,89,80972,108850,91929,91927,-2
43,84,86384,103650,96438,95123,-1315
44,88,86688,93950,96713,97543,830
45,90,88650,88650,97470,100447,2977
46,90,89480,125550,101805,102543,738
47,81,90927,94500,106798,100661,-6137
48,90,92162,108000,106451,104029,-2422
49,88,92256,92600,107011,106833,-178
50,81,92971,79200,107097,109029,1932
51,83,97645,77950,111451,109793,-1658
52,87,97712,71400,111798,111833,35
53,80,100849,94450,116451,113817,-2634
54,89,101326,111100,116648,114032,-2616
55,82,103929,71600,112470,111821,-649
56,82,105279,106250,121451,117661,-3790
57,90,105573,83250,121489,120447,-1042
58,87,107350,120450,121926,122661,735
59,89,109383,95800,126648,124032,-2616
60,82,109427,89600,124526,122983,-1543
61,89,111273,101200,129526,125160,-4366
62,85,111529,98300,131928,126949,-4979
63,81,119094,92700,134526,130160,-4366
64,83,119515,75700,133877,128820,-5057
65,80,119805,85900,136489,129793,-6696
66,81,120372,78300,136648,133820,-2828
67,86,124693,82600,141454,134644,-6810
68,82,125971,85100,141648,134843,-6805
69,88,126889,90350,141930,136836,-5094
70,81,128290,125550,144526,137663,-6863
71,85,129688,117650,146930,140163,-6767
72,81,132794,115650,149526,144843,-4683
73,89,133263,135400,151457,146949,-4508
74,80,133799,115150,151489,150163,-1326
75,85,137807,78500,151648,150106,-1542
76,87,139293,84900,156457,151844,-4613
77,86,141461,110500,156489,151805,-4684
78,87,147809,87150,156648,154846,-1802
79,89,148785,103450,160580,157921,-2659
80,87,152952,115050,161459,159036,-2423
81,83,154334,74350,163877,160119,-3758
82,80,160946,98050,166649,166447,-202
83,86,162212,67300,167928,167913,-15
84,87,163492,120450,171377,171434,57
85,83,164030,127900,176221,173713,-2508
86,83,173708,91000,179187,179185,-2
87,82,177053,85100,184005,182543,-1462
88,83,179389,89650,184951,184829,-122
89,86,181320,100150,187417,187268,-149
90,81,184007,123300,189787,191460,1673
91,89,184421,112900,194213,194257,44
92,90,185712,104850,194557,194624,67
93,88,190656,76850,196229,197010,781
94,89,191636,104350,199195,199624,429
95,80,191897,76450,201852,201770,-82
96,83,192330,102700,202516,204212,1696
97,84,194019,103650,206231,207010,779
98,85,197556,114950,207518,209309,1791
99,84,201462,118500,211234,212010,776
100,85,203011,69950,212105,212180,75
101,87,203040,84900,212521,214370,1849
102,89,208122,93550,217105,216772,-333
103,87,210098,68700,217523,219172,1649
104,81,212730,108000,220909,220219,-690
105,90,213814,89100,222105,222916,811
106,80,214132,70600,223025,223015,-10
107,81,219704,75150,226234,225198,-1036
108,88,220167,85400,226164,226094,-70
109,90,223373,93600,230296,229970,-326
110,90,228265,104850,233888,233717,-171
111,82,228966,69350,234883,235213,330
112,88,230219,98450,238715,238701,-14
113,84,233796,96000,239883,239429,-454
114,87,234059,120450,244218,245451,1233
115,82,234994,84650,244647,244098,-549
116,87,236115,115050,249206,249056,-150
117,86,240743,91600,250357,249184,-1173
118,80,240851,103900,253978,250919,-3059
119,83,242585,82000,254647,251408,-3239
120,89,245068,129100,259208,254371,-4837
121,84,245543,121650,259647,259184,-463
122,90,247181,139950,264208,260557,-3651
123,90,248835,101250,264220,264098,-122
124,89,259712,69700,265164,266316,1152
125,81,260411,80100,265904,268931,3027
126,86,262102,97450,270687,269997,-690
127,88,262194,93050,270891,272331,1440
128,90,265797,69300,273982,272495,-1487
129,89,265934,92200,275891,277475,1584
130,89,266137,97150,275703,277866,2163
131,90,268587,105750,278942,280555,1613
132,80,275684,82750,281626,282866,1240
133,81,275889,83250,285820,285671,-149
134,90,278630,90900,286254,287478,1224
135,87,278741,59700,286033,286211,178
136,85,279346,95150,286338,290663,4325
137,84,280307,115350,291022,293984,2962
138,87,281020,58350,291036,293884,2848
139,80,283527,109750,293870,294291,421
141,81,286272,98650,296616,299741,3125
141,81,286272,87250,296485,303984,7499
142,85,290704,110900,301616,304741,3125
143,90,291877,99900,303870,301250,-2620
144,90,292081,97200,303878,302871,-1007
145,88,292619,73250,305867,304793,-1074
146,80,293188,85450,306616,308993,2377
147,86,296990,73150,306318,309710,3392
148,89,303544,68800,308986,311250,2264
149,84,305465,87900,311041,313986,2945
150,80,312490,93550,317980,317979,-1
151,89,313113,101200,318605,318605,0
152,89,314003,130000,323333,322955,-378
153,88,316123,85400,324138,324212,74
154,83,318065,117550,327962,327641,-321
155,86,320557,80800,329250,328226,-1024
156,90,322386,106200,332964,329691,-3273
157,90,322488,105300,333333,333192,-141
158,87,326155,59250,333320,333413,93
159,83,326399,110350,335718,335888,170
160,85,327681,88400,338375,338682,307
161,81,330096,70200,338609,340053,1444
162,81,331833,99900,338568,343682,5114
163,84,333319,95550,342830,345824,2994
164,82,337744,92750,343657,348682,5025
165,85,340125,110900,345641,351280,5639
166,85,342326,91550,348128,353263,5135
167,85,345436,81650,350907,353365,2458
168,81,348299,113400,353779,355827,2048
169,89,348799,103900,355853,358751,2898
170,85,351576,113150,358558,358963,405
171,83,352274,99100,360579,361698,1119
172,81,354433,109350,362007,363601,1594
173,80,358539,88150,364575,365632,1057
174,86,361336,67300,367256,367526,270
175,83,361555,99100,369071,368777,-294
176,82,363055,85550,372126,371516,-610
177,84,363399,79350,372189,372529,340
178,85,370920,92000,376564,376415,-149
179,85,371375,68600,377064,376789,-275
180,86,374942,77200,381048,380714,-334
181,86,378193,61900,383708,384077,369
182,86,378262,126700,385360,388388,3028
183,90,379546,77400,388577,388526,-51
184,82,381963,85100,390534,388954,-1580
185,84,383922,105000,393384,389765,-3619
186,85,386168,121700,393579,392399,-1180
187,81,392878,93600,398378,398377,-1
188,89,401633,103450,407059,407061,2
189,83,404738,76150,410226,411771,1545
190,90,406165,78300,414919,411760,-3159
191,86,409027,106900,415051,415454,403
192,89,416290,121000,421785,422180,395
193,80,418149,104350,426456,426449,-7
194,87,422865,134850,428391,428478,87
195,86,426168,82150,432093,431608,-485
196,83,426902,98200,433237,433478,241
197,86,429252,95200,436550,436548,-2
198,85,431158,104600,438011,438027,16
199,81,436220,36900,441630,441633,3
200,86,436932,90250,442381,442383,2
201,80,439107,121450,449338,447281,-2057
202,80,439177,102100,449369,447383,-1986
203,83,444611,91450,450109,450551,442
204,80,447311,99850,454320,454748,428
205,81,452649,92250,458131,458132,1
206,87,456731,66450,462448,462742,294
207,87,456853,89400,462994,462708,-286
208,90,458056,122850,467096,467132,36
209,85,464704,96950,470188,470185,-3
210,81,465103,114300,474821,474935,114
211,80,471308,85450,476792,476792,0
212,87,472152,98850,478648,481628,2980
213,88,472328,97100,481773,481795,22
214,80,473336,51700,482375,482313,-62
215,85,476626,84800,482454,482619,165
216,85,479256,112250,486627,487434,807
217,90,484086,120150,489821,489860,39
218,82,486149,76550,491627,494464,2837
219,84,487035,92850,494567,494473,-94
220,90,487518,85950,496386,496543,157
221,86,487978,62350,497249,499464,2215
222,84,495595,115800,501085,501083,-2
223,89,500173,81400,505911,505651,-260
224,90,501900,88200,507356,507783,427
225,82,503976,89600,510738,510412,-326
226,85,505881,111800,512297,512073,-224
227,81,507072,129150,517197,514410,-2787
228,80,508401,98950,519184,517609,-1575
229,89,510812,130000,522085,521298,-787
230,87,511744,75000,522236,521405,-831
231,81,512900,94950,522360,526298,3938
232,80,517237,82300,526080,526408,328
233,83,523624,76600,529106,529292,186
234,80,523981,89950,529815,529624,-191
235,82,531436,108950,536911,536911,0
236,81,545068,115200,550954,550564,-390
237,83,549183,82900,555210,554617,-593
238,89,553014,94450,563308,558501,-4807
239,90,553329,131400,563476,559601,-3875
240,86,554003,106000,568308,563450,-4858
241,87,557716,97950,568454,563775,-4679
242,87,561247,96600,568788,568002,-786
243,83,567572,91000,573311,573064,-247
244,80,569856,41800,575312,575701,389
245,84,571586,93300,577717,577758,41
246,81,571940,76950,578311,580194,1883
247,89,573257,110200,580297,583358,3061
248,88,574843,103850,583492,582882,-610
249,90,575866,123300,587165,586817,-348
250,84,588843,93300,594300,594299,-1
251,80,593860,92650,599335,599335,0
252,85,597695,78950,603191,604038,847
253,84,598921,84750,604356,604363,7
254,87,600635,115950,609091,608099,-992
255,81,602871,91800,609253,610748,1495
256,82,604341,68450,610872,614088,3216
257,82,617621,77450,623105,623104,-1
258,88,619665,84950,625160,625160,0
259,81,621955,119700,629786,628104,-1682
260,83,624169,105400,630158,632252,2094
261,87,627158,113250,632917,633318,401
262,87,631828,99300,637312,637363,51
263,86,634675,75400,640164,640166,2
264,84,635071,87450,642043,642014,-29
265,86,639770,60550,645264,645265,1
266,84,640045,90600,646891,646991,100
267,89,640297,110650,650642,650127,-515
268,83,641644,84700,651893,650623,-1270
269,89,641752,89050,652043,652019,-24
270,85,649204,71300,655645,655156,-489
271,81,650868,120600,656366,659527,3161
272,89,653613,99400,661231,661070,-161
273,90,656272,81450,662111,664527,2416
274,82,656919,63950,664062,664573,511
275,83,657301,99100,667212,666072,-1140
276,81,660274,114300,669065,669576,511
277,80,672880,119650,678371,678374,3
278,88,674274,75500,683074,683054,-20
279,85,676970,84350,683302,683174,-128
280,89,677315,106150,684704,684492,-212
281,80,691678,101650,697097,697096,-1
282,90,692125,115200,701817,701852,35
283,88,692943,95750,702331,702357,26
284,86,696428,94300,702545,702648,103
285,80,699599,65200,706817,706797,-20
286,90,700240,126450,709950,707802,-2148
287,83,700285,70750,709719,710353,634
288,83,701835,105850,712236,710619,-1617
289,83,705742,77950,714719,711913,-2806
290,90,706354,84150,717236,715949,-1287
291,84,708045,76650,719950,716898,-3052
292,83,708107,131500,722050,717679,-4371
293,88,710023,95750,721805,720951,-854
294,83,714224,89200,722232,721483,-749
295,86,716771,76300,725943,724468,-1475
296,80,719926,122350,725995,728275,2280
297,84,720817,126600,730998,730203,-795
298,85,720937,77600,731842,731485,-357
299,81,721434,66600,732190,731924,-266
300,82,730416,113900,740559,735930,-4629
301,81,731967,127800,740828,740623,-205
302,80,733539,86350,740760,740888,128
303,80,738952,90400,745580,745580,0
304,84,739082,103650,749084,749112,28
305,90,742240,107100,749409,749922,513
306,90,742775,153900,752516,753524,1008
307,88,746948,108800,754411,754882,471
308,83,748567,114850,757362,759086,1724
309,87,750427,94350,759160,759166,6
310,86,753031,114550,764124,760919,-3205
311,82,755410,88700,764162,763307,-855
312,83,763836,87850,769278,769277,-1
313,86,764593,125800,774727,774021,-706
314,83,779839,134200,785328,790034,4706
315,88,780791,103850,789993,790249,256
316,82,784573,119750,790906,795034,4128
317,86,785563,120850,795083,795208,125
318,84,788370,96900,795382,795228,-154
319,86,790384,110950,798720,796291,-2429
320,80,790867,118750,803501,800212,-3289
321,80,797957,101650,803659,803841,182
322,80,799775,90850,806126,808191,2065
323,84,803643,78900,809144,809143,-1
324,85,809228,113150,814663,814661,-2
325,80,812937,80500,818433,818433,0
326,82,814021,93650,819543,819579,36
327,82,817771,117950,823429,824326,897
328,89,818994,111100,824892,829326,4434
329,86,822245,78550,828189,829541,1352
330,81,823376,102600,829436,833390,3954
331,85,825009,74000,833539,834191,652
332,90,830363,142650,836100,838390,2290
333,80,831462,119200,840706,840767,61
334,90,833517,96750,840769,843002,2233
335,90,836154,110250,845706,845759,53
336,89,842646,128200,848136,848135,-1
337,80,843231,83200,850706,848855,-1851
338,84,843651,69900,852777,853092,315
339,89,845698,86350,853690,853414,-276
