job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,complation_time_ordered,shortened_completion_time
0,85,3833,100100,9330,9322,-8
1,89,9672,101200,15173,15158,-15
2,88,18353,69650,23896,23843,-53
3,90,23158,133650,28704,28660,-44
4,80,23851,80500,33369,29346,-4023
5,89,33622,134950,39125,39151,26
6,84,36906,136950,43809,43832,23
7,87,46237,106050,51704,51702,-2
8,86,47951,98350,53424,53618,194
9,81,49004,75600,55009,58122,3113
10,86,50704,98800,58050,58290,240
11,86,57864,83500,63305,63303,-2
12,85,69186,82550,74641,74641,0
13,85,72573,96950,78100,78098,-2
14,82,78635,102200,84125,84125,0
15,89,89144,107050,94631,94628,-3
16,83,94422,121150,99905,99907,2
17,81,95080,129150,104758,104758,0
18,90,97506,96750,104900,104910,10
19,84,103866,82050,109321,109320,-1
20,87,107074,98400,114110,112823,-1287
21,87,114833,103800,120270,120268,-2
22,90,115230,89550,120869,120903,34
23,81,134692,99900,140622,140176,-446
24,81,150924,77850,156428,156422,-6
25,87,154809,89850,160303,160303,0
26,86,156752,112300,162498,162388,-110
27,84,161529,105000,167032,167026,-6
28,82,162304,110300,172530,167795,-4735
29,84,163434,105000,172544,172682,138
30,82,165172,88700,176883,176640,-243
31,89,167250,98950,177544,176813,-731
32,86,169576,78100,177580,178300,720
33,87,170317,81300,181772,181642,-130
34,82,172590,86450,182020,181813,-207
35,84,175854,114900,182747,182778,31
36,80,178421,102550,187022,186812,-210
37,84,184169,76200,189602,189602,0
38,86,189903,101500,195399,195400,1
39,89,192984,79600,198795,198476,-319
40,80,204641,97600,210123,210358,235
41,80,207578,108400,213053,214801,1748
42,90,245689,130950,251145,251146,1
43,81,248903,100350,255796,256002,206
44,90,249269,126900,259138,259183,45
45,89,251248,111100,259441,260797,1356
46,90,253942,74250,261053,259679,-1374
47,86,257040,83950,264441,262533,-1908
48,81,258637,106200,269202,264809,-4393
49,87,261085,124500,269229,267478,-1751
50,81,262773,103500,270796,269193,-1603
51,84,268123,67200,273915,273617,-298
52,90,270915,91350,276389,276387,-2
53,82,276901,68000,282393,282393,0
54,86,286132,89800,291626,291625,-1
55,87,289215,114600,295093,294684,-409
56,84,291178,100050,299517,299386,-131
57,89,302112,100750,307565,307562,-3
58,90,306916,126450,312545,312413,-132
59,89,313585,88150,319030,319032,2
60,82,326184,82400,331713,331685,-28
61,88,328813,93950,334329,334277,-52
62,90,329380,103500,336584,338979,2395
63,86,334300,90700,339801,340132,331
64,86,344766,104200,350433,350718,285
65,85,355097,118550,360570,360691,121
66,86,355291,73150,360935,361472,537
67,89,366812,130000,372299,372361,62
68,81,370175,102150,377098,377049,-49
69,88,373856,66500,379248,379247,-1
70,83,381782,70750,387248,387248,0
71,84,382333,127950,391985,388087,-3898
72,88,382832,122300,392589,392453,-136
73,85,383421,89750,397075,397453,378
74,89,385653,119650,397441,397022,-419
75,84,391952,76650,401985,397578,-4407
76,85,392436,72200,402032,402181,149
77,81,395445,87300,402909,402592,-317
78,86,397308,77650,406985,402748,-4237
79,81,407783,89550,413261,413260,-1
80,89,418046,113800,428169,423532,-4637
81,84,421630,87450,428466,427519,-947
82,85,433866,109100,439344,439344,0
83,84,469888,116700,475381,475367,-14
84,83,473081,58600,480081,480081,0
85,86,479707,101500,485194,485193,-1
86,80,483201,95800,488861,488702,-159
87,83,486581,79300,493342,491954,-1388
88,89,491823,91300,497270,497262,-8
89,90,492062,61650,497682,497555,-127
90,88,498126,104750,503625,503651,26
91,87,503052,121350,508533,508543,10
92,86,508809,128950,514310,514310,0
93,81,517078,76050,522541,522541,0
94,81,517646,70650,523090,523258,168
95,89,522717,103900,528214,528588,374
96,84,532942,128850,538432,543046,4614
97,81,545588,112500,551078,551076,-2
98,87,555645,122250,561172,565934,4762
99,83,556169,84250,562066,565855,3789
100,89,558262,71950,566018,564133,-1885
101,90,572578,124200,578026,578024,-2
102,88,574007,85850,582855,582813,-42
103,80,574615,87250,582817,582866,49
104,89,575594,94900,584370,584240,-130
105,83,590164,105850,595645,595644,-1
106,81,590909,88650,596799,596404,-395
107,82,593168,75650,600526,600603,77
108,82,593702,93650,601784,603293,1509
109,82,599015,71150,605290,605346,56
110,85,603822,88850,609311,609310,-1
111,90,608118,121050,614076,613610,-466
112,82,615216,90500,620713,620712,-1
113,88,620573,94850,626050,626052,2
114,85,621860,58250,627300,627299,-1
115,88,630686,110600,636168,636201,33
116,82,632599,84650,638253,638075,-178
117,84,633871,95550,641090,642790,1700
118,81,636177,81900,643076,643078,2
119,86,639850,106450,647914,646444,-1470
120,90,643533,101250,649303,649406,103
121,85,657778,91550,663246,663246,0
122,85,667353,101000,672805,672807,2
123,83,673398,116200,678894,678895,1
124,89,675283,162400,683702,683738,36
125,88,683547,90800,693777,689113,-4664
126,80,683622,89500,693916,693779,-137
127,81,683688,100350,693734,693733,-1
128,81,684841,73800,693953,693938,-15
129,83,685101,107650,698777,694114,-4663
130,86,692809,102850,698953,698758,-195
131,89,693487,119650,703192,699483,-3709
132,80,693983,76000,703621,703697,76
133,87,702889,80850,708384,708383,-1
134,85,703690,77150,713079,709171,-3908
135,83,708898,87850,714353,714571,218
136,87,711762,111900,717510,719293,1783
137,81,727415,74700,732895,732895,0
138,89,739635,115600,745077,745076,-1
139,89,740474,124600,749843,749897,54
140,82,751124,115250,756571,756571,0
141,84,755423,97350,761276,761402,126
142,83,757695,113950,765635,765545,-90
143,82,760907,61700,766560,766698,138
144,82,770124,95000,775620,775619,-1
145,86,772617,82150,778088,778087,-1
146,87,773298,75450,780434,780312,-122
147,86,782071,127600,792331,787958,-4373
148,80,782121,107050,792248,792257,9
149,84,799496,71250,804986,804987,1
150,89,800320,80950,805770,805771,1
151,89,802704,87250,808189,809989,1800
152,84,805841,116700,812852,811355,-1497
153,86,814709,106450,820205,820206,1
154,83,820004,126100,825502,825504,2
155,82,824776,126050,830314,830391,77
156,83,826982,67150,833323,834919,1596
157,83,833247,69850,838718,838719,1
158,84,833875,71250,839357,839355,-2
159,88,837396,77750,843413,843569,156
160,86,842735,132550,848578,848200,-378
161,88,856115,89900,861583,861583,0
162,89,859667,98500,865271,865162,-109
163,89,870048,110650,875549,875549,0
164,82,870763,82850,876248,880383,4135
165,86,873328,95200,881035,880476,-559
166,80,875257,83650,883469,881061,-2408
167,83,883809,87850,889303,889305,2
168,83,889185,90100,894673,894673,0
169,84,892594,105450,898287,899420,1133
170,85,902575,120350,908073,908070,-3
171,85,907269,88850,912804,912865,61
172,85,911166,67700,916662,916661,-1
173,89,920335,123700,925835,925834,-1
174,84,928980,93300,934471,934471,0
175,81,939111,83700,944598,944598,0
176,88,942319,87200,947807,947806,-1
177,87,945789,73200,951616,951616,0
178,84,946656,105000,955949,956872,923
179,85,948216,82100,956102,956176,74
180,82,948515,73400,956776,956961,185
181,88,950767,116450,958502,957729,-773
182,84,956980,76650,962465,962475,10
183,82,968513,110750,974361,974403,42
184,87,968728,115050,978716,978658,-58
185,89,973143,120100,979404,979405,1
186,83,975193,118900,983938,983663,-275
187,87,975400,95700,985503,985438,-65
188,80,978324,71050,988681,985527,-3154
189,85,978654,92450,988706,988452,-254
190,86,981151,77650,988940,988621,-319
191,80,984573,108850,990542,990598,56
192,82,985860,63050,993681,993260,-421
193,82,989172,95900,994981,994829,-152
194,87,996750,11100,997709,997710,1
