job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,complation_time_ordered,shortened_completion_time
0,89,2,23800,1311,1311,0
1,85,95,22250,1414,1377,-37
2,84,895,22200,3510,2224,-1286
3,84,905,19050,3560,2266,-1294
4,80,1003,20200,3821,2816,-1005
5,90,1042,27000,3811,4390,579
6,87,1052,24600,3676,4440,764
8,87,1422,26550,4952,4004,-948
8,87,1422,24100,4901,4951,50
9,89,1809,26500,5066,4978,-88
10,83,2094,22600,5251,5346,95
11,87,2207,26400,5440,5397,-43
12,81,3378,24300,6405,5540,-865
13,86,4155,22300,6466,5763,-703
14,85,4290,25850,6649,7212,563
15,81,4731,20700,7264,7269,5
16,89,4778,26500,7719,8046,327
17,84,4952,20400,7497,6969,-528
18,84,5235,23550,7951,7769,-182
19,84,5679,23100,7763,8603,840
21,82,6377,24700,11259,9262,-1997
21,82,6377,23850,10709,9447,-1262
22,82,6489,23000,10331,10197,-134
23,90,6624,25200,10863,10827,-36
24,89,6641,26050,9953,10596,643
25,86,7386,26350,10805,10306,-499
26,86,7396,20950,10760,10767,7
27,87,7839,25050,11515,11392,-123
28,84,8229,25350,11750,12442,692
29,85,8533,24050,12925,11906,-1019
30,84,8716,23100,13201,12406,-795
32,87,9313,21700,12979,12967,-12
32,87,9313,24100,13479,12831,-648
33,89,9555,21550,13409,13077,-332
34,80,9917,21550,14915,14575,-340
35,90,10482,24750,15965,14073,-1892
36,85,10635,24050,14438,14589,151
37,90,10685,23850,14408,14855,447
38,87,11141,24600,15008,15117,109
39,89,11542,22450,15141,15052,-89
40,89,11891,23800,16962,16277,-685
41,85,11983,21800,16679,15716,-963
42,80,12521,24250,15955,16275,320
43,88,14322,26900,16414,16516,102
44,83,14371,20350,16804,16870,66
45,81,14624,22050,18304,17875,-429
46,90,14649,19350,17765,18875,1110
47,83,15500,21700,17768,19075,1307
48,87,15640,17850,18207,17420,-787
49,84,15840,23100,18514,18073,-441
50,81,15870,24750,18804,18860,56
51,87,16654,26400,20409,19360,-1049
52,87,16835,26400,20520,19535,-985
53,82,17071,23000,20235,19786,-449
