job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,complation_time_ordered,shortened_completion_time
0,89,2,23800,1189,1384,195
1,85,95,22250,1441,1279,-162
2,84,895,22200,4843,3273,-1570
3,84,905,19050,4989,3729,-1260
4,80,1003,20200,5100,4153,-947
6,87,1052,27050,4856,4671,-185
6,87,1052,24550,5272,4310,-962
8,87,1422,26100,5154,4401,-753
8,87,1422,24550,4848,4848,0
9,89,1809,26500,4997,4824,-173
10,83,2094,22600,5665,4837,-828
11,87,2207,26400,5997,5115,-882
12,81,3378,24300,5615,5863,248
13,86,4155,22300,6439,5938,-501
14,85,4290,25850,7009,6173,-836
15,81,4731,20700,7574,6708,-866
16,89,4778,26500,7482,7569,87
17,84,4952,20400,7509,8374,865
18,84,5235,23550,7649,7746,97
19,84,5679,23100,7794,7796,2
20,88,6357,24650,11364,7923,-3441
21,82,6377,23900,11473,9155,-2318
24,89,6641,23050,10969,9705,-1264
24,89,6641,25250,11091,11205,114
24,89,6641,25950,10864,11416,552
25,86,7386,26350,10475,9782,-693
26,86,7396,20950,10800,10899,99
27,87,7839,25050,11556,11453,-103
28,84,8229,25350,12851,11146,-1705
29,85,8533,24050,12586,11834,-752
30,84,8716,23100,12159,12289,130
32,87,9313,22150,13796,12245,-1551
32,87,9313,23650,13929,12799,-1130
33,89,9555,21550,13309,12535,-774
36,85,10635,22050,13921,13460,-461
38,87,11141,25250,15219,13920,-1299
38,87,11141,24050,15869,14100,-1769
38,87,11141,24350,15993,14639,-1354
38,87,11141,23100,15294,15090,-204
39,89,11542,22450,15369,15522,153
40,89,11891,23800,16062,15571,-491
41,85,11983,21800,16048,16007,-41
42,80,12521,24250,16371,15940,-431
44,83,14371,26950,17276,16181,-1095
44,83,14371,20300,17259,17181,-78
45,81,14624,22050,17929,17268,-661
46,90,14649,19350,17870,17526,-344
47,83,15500,21700,18206,17162,-1044
48,87,15640,17850,18753,17252,-1501
49,84,15840,23100,18766,17877,-889
50,81,15870,24750,18550,18520,-30
51,87,16654,26400,19974,18696,-1278
52,87,16835,26400,19641,19294,-347
53,82,17071,23000,20276,20024,-252
54,87,17190,21450,20428,19990,-438
56,89,17637,24150,21725,20222,-1503
56,89,17637,27800,21693,21759,66
57,80,17924,23350,21258,22418,1160
58,89,18197,21550,22308,22471,163
60,88,18591,27000,25210,22973,-2237
61,80,18608,30050,25206,22948,-2258
61,80,18608,23750,24631,22958,-1673
62,80,18998,22450,23881,23713,-168
63,83,19650,19450,24053,23877,-176
64,86,19862,22300,25329,22756,-2573
66,87,20090,27250,25829,25124,-705
66,87,20090,24100,26380,25572,-808
67,87,20475,21000,25290,25958,668
68,89,20506,26500,25622,26130,508
69,83,21040,23500,25556,27427,1871
70,89,21633,24250,25581,27514,1933
71,88,21757,25100,26377,26872,495
72,80,22125,23350,27261,27207,-54
73,84,22598,23100,27475,26265,-1210
74,83,23188,23500,29029,26637,-2392
75,85,23322,18200,29361,26227,-3134
76,80,23735,21100,29368,26966,-2402
77,84,24369,22650,28422,27107,-1315
78,83,24427,22600,29285,27439,-1846
79,89,24669,22000,29162,28878,-284
80,87,25221,24600,28949,28793,-156
92,82,28523,19850,28929,29050,121
92,82,28523,24750,31257,29510,-1747
92,82,28523,24600,31635,29484,-2151
92,82,28523,22700,31834,30050,-1784
92,82,28523,26150,31335,30767,-568
92,82,28523,22500,31619,30619,-1000
92,82,28523,23200,32199,31218,-981
92,82,28523,22050,33546,32051,-1495
92,82,28523,20450,34047,31926,-2121
92,82,28523,23350,34021,32292,-1729
92,82,28523,23000,34099,31970,-2129
92,82,28523,19750,32322,33357,1035
93,87,29483,22800,32577,33533,956
94,88,29639,19700,32320,33189,869
95,90,30358,24300,33464,33659,195
96,84,30620,21300,34614,34159,-455
97,89,30754,24250,34608,33644,-964
98,80,31034,20650,35189,34317,-872
99,81,31259,23400,35796,34591,-1205
101,88,32723,22250,35688,34477,-1211
101,88,32723,24600,35866,34821,-1045
103,84,33025,21700,36584,35535,-1049
108,85,35014,24900,36552,35991,-561
108,85,35014,24500,36674,36651,-23
107,80,35010,21600,36813,36491,-322
108,85,35014,23350,36444,36512,68
107,80,35010,20150,37833,36720,-1113
108,85,35014,25250,38064,37339,-725
109,83,35413,22600,38779,37487,-1292
110,84,35506,21750,38711,37825,-886
111,88,35952,23300,38843,37983,-860
112,83,36273,19000,39977,38275,-1702
118,82,39091,23100,40042,38840,-1202
118,82,39091,21600,39784,39418,-366
118,82,39091,22350,39834,39481,-353
118,82,39091,25250,39965,39352,-613
118,82,39091,22100,40136,39627,-509
118,82,39091,20500,40894,40241,-653
119,84,39239,23550,40818,40517,-301
120,90,40276,27900,41402,41268,-134
121,83,40600,23050,41621,41819,198
122,83,40922,25300,42549,42275,-274
123,82,41016,23450,42532,42647,115
124,81,41483,23400,43967,42819,-1148
125,87,41572,22800,44011,43486,-525
127,85,41943,24050,43967,43986,19
128,90,42007,25400,45328,44016,-1312
128,90,42007,25150,45750,44722,-1028
129,82,42357,22550,46087,45725,-362
130,83,42624,22150,45809,45955,146
131,85,42978,21800,46508,46064,-444
136,90,45183,23000,46620,46093,-527
136,90,45183,25950,46072,46791,719
136,90,45183,23700,46051,46968,917
136,90,45183,24350,46667,46636,-31
136,90,45183,19600,47149,46780,-369
138,81,45602,24500,47722,47720,-2
138,81,45602,21100,47949,47902,-47
139,82,45954,23000,48434,48071,-363
140,90,46274,27000,48670,48338,-332
141,88,46541,25550,48782,48971,189
143,84,47582,20850,49273,49523,250
143,84,47582,27100,50583,49686,-897
145,87,47620,20650,50683,49973,-710
145,87,47620,25000,50612,50527,-85
146,82,48223,21650,51482,50756,-726
147,85,48446,20900,51162,50786,-376
154,84,50029,17550,52768,50678,-2090
154,84,50029,24900,52818,51386,-1432
154,84,50029,25300,52775,52237,-538
154,84,50029,24550,53228,52535,-693
154,84,50029,24000,53768,52997,-771
154,84,50029,21350,53760,53170,-590
154,84,50029,17400,53271,53476,205
155,83,51199,21250,53573,53022,-551
156,87,51237,26400,53310,53582,272
157,83,52149,22150,53461,53491,30
158,82,53195,18500,54207,54186,-21
159,86,53429,21400,55959,54665,-1294
161,83,53607,24000,56685,56653,-32
161,83,53607,24350,56480,57841,1361
163,81,53732,26850,56841,57303,462
163,81,53732,22000,57138,56691,-447
164,80,53805,23350,57070,57695,625
165,85,56164,24050,57182,57368,186
166,87,56594,25500,58125,58114,-11
167,89,56803,23350,59903,58658,-1245
168,88,56855,24650,60423,59622,-801
169,83,56918,22150,60903,60040,-863
170,88,57006,24200,60809,60550,-259
171,86,57071,23650,60867,60473,-394
172,85,57924,29000,59702,60345,643
173,89,58240,22450,61362,60648,-714
174,84,58336,25350,61652,61557,-95
175,87,58673,22350,61862,61799,-63
176,89,59265,28300,61573,62368,795
177,83,59497,26200,62944,62325,-619
178,88,59673,20150,63100,63028,-72
179,86,60112,23200,64351,62963,-1388
180,88,60135,24650,64275,63716,-559
181,82,60378,17150,64162,65329,1167
183,83,60616,23650,64403,65466,1063
183,83,60616,21650,64574,65829,1255
184,87,61014,21000,64874,66016,1142
187,89,61632,19850,65087,66123,1036
187,89,61632,23750,65295,66127,832
188,89,62816,21950,65355,65693,338
188,89,62816,24650,65698,65227,-471
189,84,63448,24450,66209,65528,-681
190,80,63584,23350,66226,66892,666
191,90,63776,24750,68405,67072,-1333
192,82,64050,23000,68199,68619,420
193,81,64062,22950,69675,67856,-1819
194,88,64119,26450,69716,68607,-1109
195,84,64248,25800,69653,69483,-170
196,87,64695,25500,69974,69406,-568
197,84,65006,24000,70568,69395,-1173
198,82,65394,23900,70310,69781,-529
200,83,65816,22050,69908,70281,373
201,86,66056,21700,70087,70905,818
201,86,66056,28100,71000,72481,1481
202,86,66302,24550,72810,72473,-337
203,84,66523,23550,76111,73346,-2765
204,82,66544,21200,76160,72525,-3635
206,81,66608,28850,77111,74968,-2143
206,81,66608,22900,77611,75931,-1680
207,88,67100,25550,78210,77409,-801
208,88,67108,26450,77710,73978,-3732
209,81,67364,20250,77556,76258,-1298
210,87,67380,24600,77056,78183,1127
211,82,67569,22100,78056,79070,1014
212,86,67773,22750,76574,77708,1134
213,81,68018,24300,77098,77909,811
214,80,68022,26050,77637,78951,1314
215,84,68471,24450,78698,79451,753
216,89,68999,21100,80399,78458,-1941
217,90,69041,25650,79849,78628,-1221
219,84,69190,24050,80199,79128,-1071
219,84,69190,23500,80437,78488,-1949
220,88,70077,23300,81249,76395,-4854
221,83,70301,23500,81350,76301,-5049
222,82,70579,22550,80251,77977,-2274
223,89,70672,22000,80798,77296,-3502
224,85,71513,24050,80601,77570,-3031
227,85,73448,25650,80797,78477,-2320
227,85,73448,25100,80403,79336,-1067
227,85,73448,24400,80449,81113,664
231,87,74973,24350,83822,80773,-3049
230,85,74857,24950,83966,80076,-3890
248,86,80081,24500,86558,81997,-4561
248,86,80081,20100,86279,82405,-3874
248,86,80081,23450,86329,81964,-4365
255,85,80701,26000,82230,83084,854
251,90,80317,23000,83230,81401,-1829
250,89,80313,26150,85072,83096,-1976
253,86,80552,25100,84874,84260,-614
252,89,80426,19350,84951,85360,409
252,89,80426,26750,86068,85918,-150
253,86,80552,28250,86976,87418,442
254,82,80593,18450,87076,87486,410
254,82,80593,31900,87377,88234,857
252,89,80426,21200,86909,88443,1534
254,82,80593,22500,88840,88723,-117
253,86,80552,23900,89478,90186,708
253,86,80552,22600,89830,88155,-1675
255,85,80701,21950,89890,86875,-3015
253,86,80552,26050,88490,86810,-1680
253,86,80552,24000,88707,87110,-1597
255,85,80701,22850,89226,87425,-1801
252,89,80426,27400,93930,88110,-5820
254,82,80593,24300,93740,88828,-4912
254,82,80593,23650,95309,90559,-4750
255,85,80701,26100,95790,89478,-6312
255,85,80701,20100,95430,93066,-2364
255,85,80701,22000,95390,94762,-628
256,88,81085,26000,96942,94961,-1981
257,90,81536,22950,97383,91239,-6144
258,90,82274,23400,97682,91885,-5797
259,86,82396,26800,97666,92154,-5512
260,83,82419,19900,93399,92559,-840
261,83,82618,23500,94389,93439,-950
262,82,83669,23000,94122,93535,-587
263,88,84067,25100,95039,93162,-1877
264,80,84163,20200,94755,93855,-900
265,80,84281,24250,93254,94855,1601
266,86,84380,26800,93393,95756,2363
267,85,84661,23150,94704,95843,1139
268,82,85346,21200,96662,96855,193
269,88,85507,25550,97162,97022,-140
270,82,87159,23000,94854,97227,2373
272,82,87904,25650,95254,97522,2268
272,82,87904,21600,95063,97980,2917
273,84,88553,23550,97540,93572,-3968
274,87,88579,25050,97765,95030,-2735
275,85,88972,22250,96636,95530,-1106
277,86,89182,25150,97686,97030,-656
277,86,89182,23150,97136,97994,858
278,83,89633,22150,95756,98494,2738
279,80,90169,23350,96904,98572,1668
280,86,90329,20050,96665,98458,1793
281,90,91284,25200,98126,98911,785
282,82,91637,21650,99477,98378,-1099
283,86,91915,22750,100211,98994,-1217
284,86,92186,24100,100281,98822,-1459
285,83,92314,22150,100919,99872,-1047
286,90,92670,23400,100422,101407,985
290,88,93152,24250,101161,102742,1581
290,88,93152,24800,101806,100739,-1067
290,88,93152,21800,102145,103232,1087
291,82,93193,23200,102072,103931,1859
292,90,94423,20750,101968,101160,-808
294,89,96520,21150,102211,103832,1621
294,89,96520,27900,102481,104107,1626
294,89,96520,23250,101422,103510,2088
295,90,96900,24300,102345,104335,1990
296,88,97939,28700,101381,104060,2679
297,80,98390,20650,101931,101007,-924
298,89,98908,22900,103257,101673,-1584
299,82,98958,21200,104122,102959,-1163
300,80,99055,22000,104575,103059,-1516
301,85,99250,22700,104892,103881,-1011
302,80,99543,20650,104658,104214,-444
303,86,99974,24550,104607,104322,-285
304,87,101012,21000,104715,104223,-492
305,89,101194,24250,104429,104521,92
306,82,101726,23900,104929,104616,-313
307,80,102494,22450,104356,104532,176
309,83,103829,24100,104883,104712,-171
309,83,103829,22100,104948,104845,-103
310,81,104641,21150,105773,105746,-27
311,90,104762,21600,105973,105985,12
312,87,105378,22350,109587,107032,-2555
313,87,105417,26400,109476,107221,-2255
315,83,105585,24800,109922,107777,-2145
315,83,105585,25700,109777,109369,-408
316,81,105606,23850,109376,108706,-670
317,88,105733,24200,109517,109421,-96
318,81,105993,21600,109310,109967,657
319,83,106090,22600,109312,109986,674
320,85,106568,24950,109697,110040,343
325,88,108552,24100,111510,110272,-1238
325,88,108552,22500,111653,109895,-1758
325,88,108552,26100,112153,110772,-1381
325,88,108552,23000,112630,111129,-1501
325,88,108552,24000,111386,111886,500
326,84,108782,21750,111703,112181,478
327,84,108975,23550,111899,112632,733
328,82,109154,21650,112330,113185,855
329,85,109612,23600,113489,113185,-304
330,84,109808,24000,113800,113386,-414
331,84,110091,23550,115434,113751,-1683
332,88,110117,23750,115426,113936,-1490
333,86,110690,22300,113974,114245,271
334,81,111056,21600,114277,114818,541
335,83,111259,23050,115412,114651,-761
336,87,111447,25050,116062,115610,-452
337,89,111627,25150,116671,116373,-298
338,90,111785,23400,116682,118197,1515
339,89,112224,24700,117167,116732,-435
340,89,112578,28750,117681,117421,-260
341,86,113128,27250,118124,118023,-101
342,84,113546,27150,117762,118281,519
343,89,113877,26950,117335,118639,1304
344,88,114304,24650,117790,118048,258
345,81,114395,18450,117632,118279,647
346,83,114656,21250,120041,118587,-1454
347,85,115402,24500,120770,118556,-2214
348,80,116066,22900,119094,118737,-357
349,82,116438,21650,121294,119557,-1737
351,82,116525,23950,121734,120526,-1208
351,82,116525,20700,121844,120752,-1092
353,87,117077,18100,121847,121049,-798
354,83,117083,21000,121645,121388,-257
354,83,117083,20750,121982,122265,283
356,86,118734,20250,122179,121710,-469
359,83,120143,24100,122249,121293,-956
359,83,120143,23400,121002,121052,50
359,83,120143,22400,122053,122177,124
359,83,120143,22450,122215,122068,-147
360,90,120527,25200,122555,122325,-230
361,81,121433,24300,124124,122674,-1450
362,86,121512,20050,124340,123295,-1045
364,83,121746,23400,123994,123560,-434
364,83,121746,23900,124654,123960,-694
369,81,123300,23750,124451,124510,59
368,85,123098,24350,124996,124861,-135
369,81,123300,23750,124961,125358,397
368,85,123098,22650,125660,125282,-378
369,81,123300,19700,125342,125042,-300
370,89,124518,23800,125914,125534,-380
371,89,124718,23800,126084,125958,-126
372,82,125196,23450,126422,126204,-218
373,80,125698,23350,126698,126704,6
375,87,126995,22100,128731,128281,-450
375,87,126995,25000,128845,128781,-64
376,86,127121,27250,129275,129279,4
377,85,127992,24050,129432,129257,-175
378,86,128210,26800,130988,129851,-1137
379,90,128230,18900,130957,130025,-932
380,84,128483,23550,130926,130419,-507
382,88,128705,28200,131084,131519,435
383,87,129306,21950,131067,131479,412
383,87,129306,21850,131914,131487,-427
384,82,129525,24350,134387,131920,-2467
385,87,129544,23700,133976,133570,-406
386,81,129883,20250,133952,133645,-307
387,89,130304,20650,133502,133828,326
388,81,130350,22500,133637,133851,214
406,86,132519,23400,134155,134202,47
407,80,132625,25500,134722,134445,-277
408,87,132635,22000,139120,134967,-4153
408,87,132635,21250,139636,134351,-5285
410,87,133767,25700,139609,135537,-4072
409,85,133723,22150,141655,137292,-4363
410,87,133767,24400,141788,138542,-3246
409,85,133723,23850,141824,139203,-2621
409,85,133723,24000,139250,138159,-1091
409,85,133723,25150,139119,139768,649
409,85,133723,24350,140228,140142,-86
409,85,133723,23400,140980,141069,89
410,87,133767,27950,144612,142669,-1943
410,87,133767,26500,144880,144431,-449
410,87,133767,29750,145380,144985,-395
409,85,133723,25250,145880,144103,-1777
410,87,133767,21300,145464,145640,176
410,87,133767,22750,145894,145781,-113
409,85,133723,21550,147394,147905,511
410,87,133767,22300,146894,149439,2545
409,85,133723,21850,142561,149719,7158
410,87,133767,19700,143004,146281,3277
411,81,133962,20250,143061,145742,2681
412,89,134117,24250,143604,145775,2171
413,87,134128,25500,143561,146242,2681
414,80,134186,22900,141918,145825,3907
416,88,134678,24050,145754,146081,327
416,88,134678,22350,146202,146325,123
417,81,134884,23850,146182,146131,-51
418,90,135411,27450,146930,146181,-749
419,88,135642,23300,147747,146250,-1497
420,82,136096,27500,149747,146659,-3088
421,83,136166,22600,149802,147809,-1993
423,85,136630,17100,159075,148530,-10545
423,85,136630,20850,160115,149354,-10761
424,86,136735,25900,166715,150700,-16015
425,88,136854,24650,167865,151430,-16435
427,84,136938,19300,166875,151804,-15071
427,84,136938,24400,167915,149952,-17963
428,89,137044,17950,167315,151257,-16058
429,88,137150,25100,167875,152449,-15426
430,88,137241,23750,156527,152923,-3604
431,85,137289,24950,158077,152155,-5922
432,83,137397,23050,159127,154903,-4224
433,83,137829,21700,160099,156153,-3946
435,86,138196,25050,160627,155963,-4664
435,86,138196,29000,160792,158439,-2353
436,84,138279,20850,160199,160043,-156
437,88,138666,23300,158507,162413,3906
438,85,138683,23150,158837,163229,4392
439,82,138891,24800,161707,153395,-8312
440,83,139013,25300,162337,159970,-2367
441,80,139521,22000,164348,162545,-1803
442,84,139590,20850,164307,164384,77
443,82,139780,22100,163854,165984,2130
444,88,140059,26900,159049,166863,7814
445,90,140080,25200,159228,167081,7853
446,84,140369,22650,165307,157693,-7614
447,86,140512,23650,167006,158793,-8213
448,89,140554,25150,167957,159411,-8546
449,84,140671,23550,168798,157505,-11293
450,83,140911,22600,169757,158995,-10762
451,84,141389,25350,170898,160561,-10337
452,82,141691,24350,171487,161045,-10442
453,84,141978,20850,172041,161645,-10396
463,83,145517,22950,172487,161784,-10703
463,83,145517,24600,172448,162286,-10162
474,87,148557,24650,165824,162452,-3372
480,80,149659,25150,166824,163105,-3719
480,80,149659,24250,167024,164023,-3001
483,88,150230,21250,167424,164655,-2769
483,88,150230,22950,168224,163183,-5041
482,83,150118,23400,169977,164780,-5197
483,88,150230,25700,172527,165833,-6694
483,88,150230,21650,172715,166830,-5885
484,82,150634,21200,174212,167493,-6719
485,90,151623,25700,174600,168039,-6561
486,83,151714,23700,174448,169015,-5433
487,90,151944,25750,174087,168722,-5365
486,83,151714,24550,174111,171033,-3078
487,90,151944,28750,171924,171389,-535
487,90,151944,23950,173356,168530,-4826
488,90,152267,25800,173498,169545,-3953
489,86,152275,22350,173224,170145,-3079
489,86,152275,24800,173074,169889,-3185
490,87,152431,24150,173609,170531,-3078
490,87,152431,23100,174591,170195,-4396
490,87,152431,22000,176756,168883,-7873
492,88,153984,25700,177306,169580,-7726
491,90,153900,24350,177806,170033,-7773
492,88,153984,23250,178806,170533,-8273
491,90,153900,21500,178841,170236,-8605
491,90,153900,22100,181041,170396,-10645
495,89,154256,21250,180856,170697,-10159
494,83,154204,24500,181456,170889,-10567
495,89,154256,20300,182341,171015,-11326
496,85,154678,24300,183106,170164,-12942
498,90,154848,21650,183491,171543,-11948
496,85,154678,24650,171567,172131,564
497,86,154810,20250,174403,172631,-1772
499,85,154928,23600,174709,172776,-1933
499,85,154928,24050,176009,173681,-2328
499,85,154928,27350,182370,174564,-7806
501,90,155262,22350,182418,173523,-8895
501,90,155262,24650,183730,174237,-9493
501,90,155262,26200,185232,175737,-9495
502,87,155343,26900,185020,177323,-7697
502,87,155343,19950,185459,178483,-6976
500,82,155080,23650,174415,179300,4885
501,90,155262,27450,174965,180550,5585
502,87,155343,24850,176236,181733,5497
502,87,155343,20750,178370,182987,4617
502,87,155343,28200,179570,184537,4967
503,81,155688,20800,179691,185537,5846
506,87,156131,22950,182548,186033,3485
506,87,156131,24700,183870,184421,551
505,85,156005,23150,184741,185909,1168
506,87,156131,19100,185720,186897,1177
507,80,156336,23350,186615,188109,1494
508,83,156698,23500,187270,189193,1923
510,88,157228,24550,178952,190559,11607
510,88,157228,25050,180216,191871,11655
511,85,157353,20000,180132,193171,13039
512,87,157799,23700,177851,193809,15958
513,82,158003,20300,179162,188373,9211
514,86,158377,25000,182951,182531,-420
515,86,158814,24550,186712,183026,-3686
516,85,158989,22700,188051,179242,-8809
517,86,159377,23200,190601,181915,-8686
518,86,159918,20050,194312,184042,-10270
519,85,159990,22250,194351,186465,-7886
520,83,160198,19900,186820,189492,2672
521,83,160563,21700,187802,192242,4440
522,82,161039,23900,190032,196092,6060
523,87,161119,25950,190620,197515,6895
524,84,161131,24450,190332,186687,-3645
525,88,161310,26450,191102,186873,-4229
526,80,161750,21100,191720,186583,-5137
527,86,162234,24550,193370,186633,-6737
528,85,162258,22250,193420,186639,-6781
529,80,162374,21100,192820,187307,-5513
530,82,162783,24350,191456,189004,-2452
531,86,162957,23200,192309,190175,-2134
532,86,163965,21850,192809,191657,-1152
533,87,164441,25050,193920,192759,-1161
534,90,164777,27000,194106,194359,253
