job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,complation_time_ordered,shortened_completion_time
0,87,481,21000,1082,1082,0
1,89,755,28300,2482,1759,723
2,90,766,22950,2634,2305,329
3,89,1010,20200,2356,2834,-478
4,88,1228,25550,3810,2958,852
5,84,1298,26250,3909,3736,173
6,90,1650,24300,5032,3689,1343
7,83,2046,23950,5209,4006,1203
8,87,2079,24600,4559,4285,274
9,83,2320,22600,4837,4409,428
10,80,3664,22900,5234,4890,344
11,86,3851,21400,5490,5314,176
12,85,3965,21350,6062,5583,479
13,82,4366,23000,6358,5868,490
14,83,4817,23500,6834,6766,68
15,83,5074,23950,7384,7440,-56
16,80,5291,21550,8721,7562,1159
17,81,5488,22500,9937,7339,2598
18,84,5575,25800,10468,8506,1962
19,85,5611,25400,9385,8567,818
20,88,5653,23750,9911,9262,649
21,88,6080,26900,9034,9962,-928
22,83,6458,25750,9791,10366,-575
23,80,7089,20650,9986,9221,765
24,83,7783,22600,10838,9866,972
25,84,8174,22650,10862,10221,641
26,80,8244,22450,11210,10670,540
27,80,8538,22000,11619,11770,-151
28,87,9019,25050,12537,11875,662
29,82,9200,22100,11836,12163,-327
30,87,9908,23250,12962,12366,596
31,83,9998,22150,12571,11923,648
32,85,10120,22700,13663,12435,1228
33,83,10402,23950,13038,12713,325
34,81,11155,21150,13440,13546,-106
35,87,11684,21900,13837,13764,73
36,84,11715,22650,13767,13985,-218
37,81,12261,25200,15064,14596,468
38,80,12686,22900,15388,15116,272
39,90,13006,25650,15863,16321,-458
40,83,13091,22150,15090,16948,-1858
41,80,13192,23800,15590,17371,-1781
42,81,13247,18900,16771,15315,1456
43,86,13540,22750,17867,15880,1987
44,80,14180,21550,18367,16235,2132
45,83,14330,19900,16895,16780,115
46,83,15842,22150,17814,17548,266
47,90,16014,23400,18266,18098,168
48,89,16074,22000,18288,18598,-310
49,81,16097,24750,18493,18371,122
50,87,16613,23250,20894,19051,1843
51,90,16899,24300,19494,19598,-104
52,80,17004,19300,19612,19615,-3
53,84,17676,23550,21036,20528,508
54,89,17832,26050,20823,20119,704
55,84,17921,25350,21894,20832,1062
56,89,17965,25600,22394,21253,1141
57,88,18399,25550,22521,20865,1656
58,89,18490,24250,22422,21143,1279
59,87,19346,25950,22394,21726,668
60,80,20025,23350,22846,23250,-404
61,90,20463,27900,23673,24276,-603
62,87,20570,27750,24446,22618,1828
63,89,20596,22450,24594,22997,1597
64,83,20788,20350,24671,23955,716
65,86,21220,24550,25462,24592,870
66,86,21997,23200,26299,24330,1969
67,86,22023,23650,26586,25242,1344
68,81,22934,19350,27294,25505,1789
69,84,22965,21750,26646,25970,676
70,82,23014,23000,27197,26321,876
71,84,23049,25350,28146,27321,825
72,82,23328,23450,28473,26450,2023
73,80,23357,22900,28597,26667,1930
74,86,23832,20500,29496,27020,2476
75,83,24091,19450,27039,27807,-768
76,90,24305,23850,28247,28267,-20
77,89,24710,27850,28700,28279,421
78,89,24893,25600,28994,28909,85
79,85,25370,25850,30296,29910,386
80,80,25416,22000,30000,30410,-410
81,82,25541,21650,30950,29529,1421
82,82,25925,24350,31857,29778,2079
83,89,26146,24250,31889,30544,1345
84,89,26328,27400,31647,31144,503
85,83,26896,21700,32141,31694,447
86,89,26981,28300,32826,31402,1424
87,88,27047,25550,34397,32040,2357
88,83,27420,24400,35526,32753,2773
89,90,27561,25650,36597,33861,2736
90,90,27779,21150,32575,33320,-745
91,86,27805,21850,33075,33502,-427
92,89,27917,28300,33448,33457,-9
93,84,28003,20850,33775,34260,-485
94,87,28517,23700,34096,33090,1006
95,82,28642,22550,34589,34990,-401
96,83,29210,28450,35624,35005,619
97,86,29317,20950,37039,34378,2661
98,81,29471,18000,37910,34572,3338
99,88,30071,22400,35728,35129,599
100,84,30680,24900,36728,37105,-377
101,83,30796,24400,37718,39779,-2061
102,89,31761,24250,38218,40303,-2085
103,81,32215,18000,38353,40335,-1982
104,84,32250,21300,38549,37490,1059
105,85,32414,22250,39328,37609,1719
106,81,32609,20250,40028,38072,1956
107,90,32663,26550,40078,38844,1234
108,89,33007,22450,41089,40042,1047
109,85,33366,24500,41740,40349,1391
110,88,33637,28700,42739,38194,4545
111,85,33690,23600,42539,39309,3230
112,82,33833,21650,42940,40354,2586
113,86,33975,22300,40229,40904,-675
114,87,35252,25950,41329,42103,-774
115,88,35524,25100,40437,42709,-2272
116,83,35599,24400,40791,40608,183
117,85,35665,24500,41263,41963,-700
118,85,35915,24050,42346,43213,-867
119,89,35998,25600,43543,43739,-196
120,89,37055,22000,43654,43212,442
121,87,37284,22350,44154,43329,825
122,90,38080,25650,44946,43280,1666
