job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,complation_time_ordered,shortened_completion_time
0,80,31,21550,1086,638,448
1,87,70,25950,1582,2285,-703
2,88,217,21050,2733,2124,609
3,89,245,22000,2636,3034,-398
4,86,337,25450,3234,4073,-839
5,86,361,23650,3224,3334,-110
6,85,371,27200,3033,3688,-655
7,82,632,23450,3425,3991,-566
8,82,791,22100,4124,4431,-307
9,90,892,25200,5031,4981,50
10,88,1184,22400,5968,5471,497
11,87,1357,25950,6021,5574,447
12,90,1360,22500,6284,5834,450
13,87,1451,24600,6584,5835,749
14,81,1552,22500,7271,15389,-8118
15,81,1707,19800,7184,15234,-8050
16,80,1792,23800,7487,8026,-539
17,89,1975,24700,16382,8482,7900
18,86,1989,24100,10139,9123,1016
19,83,2200,22600,11339,10284,1055
20,90,2256,27450,9876,10385,-509
21,89,2508,26500,10674,10968,-294
22,90,2530,27000,11521,11183,338
23,81,2652,21150,11424,11639,-215
24,89,2775,22900,9987,12183,-2196
25,90,2889,27000,11087,13233,-2146
26,87,2897,24150,11087,11835,-748
27,89,3182,22000,12987,12381,606
28,90,3238,23850,12984,12931,53
29,80,3274,22900,13083,15234,-2151
30,90,3404,24300,15037,16790,-1753
31,88,3457,23300,15636,18134,-2498
32,89,3501,24250,15282,19340,-4058
33,84,3529,23100,15587,19840,-4253
34,86,3789,25450,16136,21484,-5348
35,86,3969,20050,16031,23342,-7311
36,88,4059,25100,17285,25134,-7849
37,86,4079,22750,17034,25692,-8658
38,90,4134,24300,17335,27284,-9949
39,88,4161,23300,18485,28484,-9999
40,90,4251,22950,18435,30234,-11799
41,83,4295,21700,18634,29992,-11358
42,86,4427,19600,16828,31834,-15006
43,84,4690,24450,18887,33134,-14247
44,81,4857,21600,19137,34684,-15547
45,88,5011,27350,23337,36692,-13355
46,88,5092,25550,24437,36942,-12505
47,80,5112,20650,24937,39234,-14297
48,80,5212,26500,29037,41092,-12055
49,85,5259,23150,29237,42192,-12955
50,90,5353,22050,29587,43742,-14155
51,90,5992,19800,31737,44792,-13055
52,87,6053,21900,33287,45892,-12605
53,86,6112,25000,34587,25222,9365
54,83,6202,24400,35490,23076,12414
55,80,6284,19750,34687,24076,10611
56,85,6286,21800,37183,24576,12607
57,88,6319,24650,37184,25473,11711
58,84,6355,24900,37283,26023,11260
59,85,6363,22250,36944,26768,10176
60,84,6496,21300,37387,27376,10011
61,81,6531,22050,40587,27468,13119
62,88,6573,22850,39737,27968,11769
63,85,6630,16400,40087,28323,11764
64,88,6933,20600,27975,28526,-551
65,89,6972,21550,28526,29118,-592
66,83,7033,23050,29025,29326,-301
67,86,7255,28600,29776,29738,38
68,82,7462,27050,31778,30623,1155
69,88,7489,23750,32025,31083,942
70,82,7494,24800,32026,31788,238
71,82,7522,25250,32276,32288,-12
72,88,7685,26000,36289,33091,3198
73,88,7734,23300,36939,33788,3151
74,83,7734,23950,35789,34633,1156
75,83,7763,18550,36636,34842,1794
76,81,7803,23400,37686,35733,1953
77,80,7869,24250,38489,36138,2351
78,81,7926,25650,38091,37138,953
79,82,7953,22550,38382,38238,144
