job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,complation_time_ordered,shortened_completion_time
0,88,389,41300,1391,1394,-3
1,85,939,40250,2942,2439,503
2,87,1396,39900,3438,3493,-55
3,88,1423,41750,3492,3541,-49
4,84,2524,39300,4526,4943,-417
5,87,2572,39900,5443,5543,-100
6,82,2635,36950,5046,6077,-1031
7,80,2851,37750,5944,7046,-1102
8,80,3415,36850,6578,6995,-417
9,80,4744,37750,8127,7946,181
10,85,4944,38900,7942,8946,-1004
11,86,5236,38500,8542,9729,-1187
12,90,5354,42300,9082,11579,-2497
13,85,5682,38450,9543,10698,-1155
14,84,6379,37050,10501,13098,-2597
15,81,6600,36900,11001,10994,7
16,87,7069,39450,11054,12093,-1039
17,90,7373,40500,11582,11630,-48
18,90,8168,43650,12529,12196,333
19,87,9410,39450,12680,14083,-1403
20,83,10437,37000,13594,16583,-2989
21,87,11018,39900,14082,14093,-11
22,89,11283,41800,14582,15594,-1012
23,86,12335,38950,15582,15751,-169
24,81,12776,36900,16692,15729,963
25,89,12917,38650,17100,16232,868
26,85,13011,40700,16785,17054,-269
27,84,15208,37950,18099,17753,346
28,82,16170,36500,18134,18196,-62
29,85,16873,38900,18684,19046,-362
30,83,17399,37000,19342,19198,144
31,88,18137,39500,19455,20159,-704
32,81,18915,37350,19958,20253,-295
33,90,19872,40500,21928,21872,56
34,80,19942,37750,22977,23425,-448
35,90,19976,41850,22925,23925,-1000
36,86,20110,39850,23873,23925,-52
37,80,20113,36850,23424,23946,-522
38,82,20734,37400,25377,24475,902
39,90,20861,41400,25929,26077,-148
40,83,22780,37450,26377,27077,-700
41,84,22985,37500,26877,31947,-5070
42,80,23179,36400,27996,28927,-931
43,84,23416,36600,28496,29426,-930
44,88,23449,40850,29477,29878,-401
45,89,23880,41350,30477,28551,1926
46,83,24375,37450,31531,30551,980
47,84,24782,36600,32131,30426,1705
48,88,24987,39500,30112,36059,-5947
49,86,25065,39400,30079,33027,-2948
50,81,25537,38250,32030,33623,-1593
51,82,25665,34700,32546,34199,-1653
52,87,26304,41700,33546,34698,-1152
53,88,26747,39500,34547,36023,-1476
54,80,27398,37750,36079,35130,949
55,84,27876,38400,37079,39428,-2349
56,83,27890,38800,37547,41148,-3601
57,80,27900,36400,36076,43698,-7622
58,87,28096,39900,37026,45478,-8452
59,87,28288,40800,38098,47298,-9200
60,82,28391,36950,38581,38098,483
61,80,28410,36400,38679,39426,-747
62,90,28504,41400,38729,40485,-1756
63,89,28644,39100,39972,42673,-2701
64,90,28760,41400,40577,47085,-6508
65,81,29089,36000,40646,48823,-8177
66,89,30347,39100,43146,50185,-7039
67,90,30654,40950,49633,51323,-1690
68,82,30660,36950,49696,52077,-2381
69,80,30685,35500,49697,43598,6099
70,83,31216,38350,51400,44120,7280
71,87,31314,40800,51633,47248,4385
72,83,31687,38800,51696,47352,4344
73,80,31743,35050,48537,45475,3062
74,83,32446,37450,51196,46085,5111
75,81,32698,38700,53196,47225,5971
76,85,33408,37550,47135,46027,1108
77,86,33477,38950,47635,46598,1037
78,87,33730,38550,47830,48229,-399
79,90,34614,41400,49191,48999,192
80,85,34729,38900,49226,50026,-800
81,81,34836,37800,47682,48304,-622
82,81,35255,37800,48479,48751,-272
83,81,35397,35550,49080,50148,-1068
84,85,36243,38450,49138,51181,-2043
85,82,39706,39200,50231,51999,-1768
86,84,40159,36600,51231,52499,-1268
87,85,43055,40250,51688,52650,-962
88,85,43311,39800,51583,52137,-554
89,82,43478,36950,53133,53131,2
90,82,45925,38300,53529,54080,-551
91,83,46328,36550,54183,54999,-816
92,81,47191,36900,55183,55499,-316
93,89,47968,41800,56902,56650,252
94,83,48037,36550,57183,57650,-467
95,85,48499,37550,57683,57734,-51
96,84,48906,37950,59739,57577,2162
97,85,48933,35300,58180,58002,178
98,85,48990,39800,59296,56301,2995
99,85,49022,39350,60296,58301,1995
100,85,51823,39800,59630,58683,947
101,90,52616,39600,61680,59630,2050
102,87,53088,40350,63134,60680,2454
103,82,53155,36950,63931,61681,2250
104,85,53336,38000,64433,62680,1753
105,85,53786,36650,62002,64150,-2148
106,84,54271,39750,62346,64181,-1835
107,83,54721,39700,62296,63081,-785
108,90,55606,40950,63551,64174,-623
109,86,55783,38500,63846,65002,-1156
110,86,56862,38950,64291,66056,-1765
111,82,56896,36050,63485,64851,-1366
112,87,57544,40800,64787,64652,135
113,86,57765,38050,65885,65232,653
114,88,60450,38150,66385,66652,-267
115,88,61258,41750,66983,66782,201
116,86,63430,39400,67552,68056,-504
