Arrival Time,Time in System,Request Service Time,Steal Count,Original Queue,Queue Length,Total Queue Length,Queue Checks,Time Left of Task Ahead,Requeue Wait Time,job_id,tasks_num_of_single_job,task_generation_time,completion_time
1156,500,500,0,0,0,0,0,0,0,1,100,1048,1655
1182,500,500,0,0,0,0,0,474,0,1,100,1048,1681
1416,5501,5500,0,2,0,0,0,1,0,1,100,1048,6916
1438,609,500,1,0,0,0,6,0,109,4,96,1328,2046
1472,575,500,1,0,0,1,0,10,75,2,17,1113,2046
1502,655,500,2,0,1,2,1,390,155,3,31,1134,2156
1538,509,500,1,0,2,3,0,10,9,1,100,1048,2046
1539,508,500,1,0,3,4,0,0,8,4,96,1328,2046
1557,510,500,1,0,0,1,0,480,10,4,96,1328,2066
1592,590,500,0,0,0,1,0,64,0,4,96,1328,2181
1598,2559,500,1,0,0,2,3,0,559,4,96,1328,4156
1607,549,500,0,0,1,3,0,49,0,1,100,1048,2155
1611,1566,500,1,0,2,4,3,5370,566,5,41,1503,3176
1665,2991,500,1,0,2,3,3,0,492,4,96,1328,4655
1706,950,500,0,0,2,3,3,450,0,1,100,1048,2655
1756,900,500,1,0,3,4,3,0,401,1,100,1048,2655
1782,2875,500,1,0,4,5,3,0,375,4,96,1328,4656
1813,2864,500,1,0,5,6,3,5370,364,6,80,1618,4676
1847,5700,5500,0,2,0,7,0,200,0,4,96,1328,7546
1852,805,500,1,0,6,8,3,0,305,1,100,1048,2656
1869,3308,500,1,0,7,9,3,5370,308,6,80,1618,5176
1870,1286,500,1,0,8,10,3,0,287,1,100,1048,3155
1878,3278,500,1,0,9,11,3,0,279,4,96,1328,5155
1921,1736,500,1,0,10,12,3,0,236,3,31,1134,3656
1942,1215,500,1,0,11,13,3,0,215,1,100,1048,3156
1943,1734,500,1,0,12,14,3,5370,234,5,41,1503,3676
1986,5561,5500,0,2,0,15,0,61,0,6,80,1618,7546
2010,672,500,0,0,13,16,3,146,0,6,80,1618,2681
2028,1628,500,1,0,14,17,3,0,129,1,100,1048,3655
2035,2142,500,1,0,15,18,3,5370,142,5,41,1503,4176
2069,608,500,1,0,16,17,1,5370,108,4,96,1328,2676
2077,3690,500,1,0,17,18,1,0,2690,7,54,1937,5766
2082,5575,5500,0,2,0,19,0,5465,0,4,96,1328,7656
2084,2072,500,1,0,18,20,0,0,73,3,31,1134,4155
2097,4059,500,1,0,19,21,1,0,2670,7,54,1937,6155
2115,2067,500,0,0,20,22,0,41,0,6,80,1618,4181
2166,2490,500,0,0,9,19,0,490,0,6,80,1618,4655
2212,1944,500,0,0,3,18,0,444,0,5,41,1503,4155
2219,937,500,0,0,4,19,0,437,0,4,96,1328,3155
2226,956,500,0,0,5,20,0,430,0,4,96,1328,3181
2227,4040,500,1,0,6,21,1,0,2540,7,54,1937,6266
2248,1408,500,0,0,7,22,0,408,0,4,96,1328,3655
2291,2391,500,0,0,8,23,0,365,0,6,80,1618,4681
2316,2840,500,0,0,9,24,0,340,0,6,80,1618,5155
2318,1364,500,0,0,10,25,0,338,0,4,96,1328,3681
2318,2864,500,0,0,11,26,1,338,0,6,80,1618,5181
2331,4325,500,1,0,12,27,1,0,2436,7,54,1937,6655
2512,2755,500,1,0,13,28,1,0,2255,6,80,1618,5266
2540,3116,500,1,0,14,29,1,0,2227,6,80,1618,5655
2561,4706,500,1,0,15,30,1,0,2206,8,51,2396,7266
2581,5075,500,1,0,16,31,1,0,2186,8,51,2396,7655
2775,4992,500,1,0,15,27,1,0,1992,8,51,2396,7766
2839,5317,500,1,0,16,28,1,0,1928,8,51,2396,8155
2876,3891,500,1,0,17,29,1,0,1891,7,54,1937,6766
2929,4227,500,1,0,18,30,1,0,1838,7,54,1937,7155
2960,6807,500,1,0,19,31,1,0,1807,9,96,2676,9766
2994,5273,500,1,0,20,32,1,0,1773,8,51,2396,8266
3023,5633,500,1,0,21,33,1,0,1744,8,51,2396,8655
3033,3149,500,0,0,22,34,1,123,0,11,54,2929,6181
3037,5730,500,1,0,23,35,1,0,1730,8,51,2396,8766
3038,7118,500,1,0,24,36,1,0,1729,9,96,2676,10155
3074,6082,500,1,0,25,37,1,0,1693,8,51,2396,9155
3135,8632,500,1,0,26,38,1,0,1632,10,49,2772,11766
