Arrival Time,Time in System,Request Service Time,Steal Count,Original Queue,Queue Length,Total Queue Length,Queue Checks,Time Left of Task Ahead,Requeue Wait Time
37,501,500,0,0,0,0,0,0,0
149,500,500,0,0,0,0,0,389,0
340,608,500,1,0,0,0,7,0,108
786,500,500,0,0,0,0,0,0,0
809,500,500,0,0,0,0,0,477,0
969,609,500,1,0,0,0,7,0,109
1205,5503,5500,0,2,0,0,1,379,0
1292,500,500,0,0,0,0,0,0,0
1619,500,500,0,0,0,0,0,173,0
1788,5500,5500,0,2,0,0,0,10,0
1881,500,500,0,0,0,0,0,0,0
2000,608,500,1,0,0,0,5,0,108
2111,507,500,1,0,0,0,2,100,7
2207,500,500,0,0,0,0,0,182,0
2287,594,500,0,0,0,0,3,102,0
2300,598,500,1,0,0,1,0,210,98
2340,558,500,1,0,1,2,0,0,58
2426,602,500,1,0,0,0,1,370,102
2534,5584,5500,0,2,0,0,1,369,0
2535,672,500,0,0,0,1,1,346,0
2540,688,500,1,0,0,2,1,0,188
2586,812,500,1,0,1,3,1,0,142
2719,662,500,0,0,1,2,0,173,0
2769,739,500,1,0,0,2,1,0,239
3256,500,500,0,0,0,0,0,132,0
3335,546,500,0,0,0,0,2,52,0
3345,602,500,1,0,0,1,3,0,103
3383,565,500,1,0,0,1,1,0,65
3386,562,500,1,0,1,2,1,60,62
3577,5501,5500,0,2,0,0,0,9,0
3658,598,500,0,0,0,0,0,302,0
3676,705,500,0,0,0,1,0,222,0
3702,856,500,1,0,1,2,3,5020,356
3703,1355,500,1,0,2,3,3,5020,355
3710,1848,500,1,0,3,4,4,5020,348
3720,2338,500,1,0,4,5,4,5020,338
3771,797,500,1,0,4,5,3,1,296
3795,1272,500,1,0,5,6,3,1,272
3811,756,500,1,0,6,7,3,0,257
3904,852,500,0,0,6,7,3,499,0
4173,708,500,0,0,0,5,0,312,0
4405,783,500,1,0,0,4,1,0,283
4465,791,500,0,0,0,5,1,475,0
4554,7004,5500,0,2,2,6,2,4612,0
4691,690,500,0,0,0,4,0,192,0
4747,930,500,1,0,1,5,1,11,430
4908,780,500,1,0,0,4,1,11,269
4926,830,500,0,0,1,5,1,472,0
5175,706,500,0,0,2,5,0,303,0
5222,1034,500,0,0,1,4,2,192,0
5302,996,500,1,0,1,4,2,1,495
5518,1279,500,1,0,1,4,2,1,279
5529,1269,500,1,0,2,5,2,1,268
5556,741,500,1,0,3,6,2,0,242
5606,775,500,0,0,4,6,2,322,0
5802,954,500,0,0,0,4,0,82,0
5819,1062,500,0,0,1,5,0,78,0
5836,1420,500,0,0,2,6,1,61,0
6051,1277,500,1,0,2,6,3,2250,777
6157,1631,500,1,0,3,6,3,2250,671
6160,1668,500,1,0,4,7,3,2250,668
6234,2054,500,1,0,5,8,3,2250,594
6240,2088,500,1,0,6,9,3,2250,588
6481,2137,500,1,0,5,6,4,2250,347
6501,880,500,0,0,6,7,3,399,0
6502,1415,500,1,0,7,8,3,1,415
6529,1389,500,1,0,8,9,3,1,388
6620,1797,500,1,0,9,10,3,1,297
6629,788,500,1,0,10,11,3,0,289
6811,607,500,1,0,10,11,2,0,107
6831,925,500,0,0,5,11,0,52,0
7208,673,500,0,0,0,9,0,462,0
7312,944,500,0,0,0,8,0,92,0
7330,1051,500,0,0,1,8,0,52,0
7352,1186,500,1,0,2,9,1,0,686
7458,1459,500,1,0,2,7,2,0,580
7598,1340,500,2,0,3,8,2,640,840
7705,1051,500,0,0,4,9,1,282,0
7723,1158,500,0,0,5,10,1,175,0
8087,1061,500,1,0,1,5,2,0,561
8091,1326,500,1,0,2,6,2,0,557
8168,1480,500,1,0,3,6,2,0,480
8195,5593,5500,0,2,0,7,0,909,0
8257,1660,500,1,0,3,7,2,0,391
8317,911,500,1,0,4,7,2,350,411
8537,901,500,1,0,4,5,2,350,191
8546,710,500,0,0,5,6,2,342,0
8695,686,500,0,0,2,6,0,232,0
8822,866,500,1,0,0,5,1,0,366
8891,837,500,1,0,0,5,1,0,297
8914,842,500,0,0,1,6,1,489,0
9254,5684,5500,0,2,0,2,0,459,0
9903,500,500,0,0,0,0,0,0,0
10055,500,500,0,0,0,0,0,354,0
10077,601,500,1,0,0,0,4,0,101
10086,1092,500,1,0,0,1,3,0,92
10137,1041,500,1,0,1,2,1,0,41
10149,529,500,1,0,2,3,0,0,29
10149,538,500,1,0,3,4,0,1,38
10198,610,500,1,0,0,2,1,0,110
10224,963,500,1,0,0,3,0,0,84
10231,672,500,0,0,1,4,0,178,0
10470,585,500,0,0,0,3,0,499,0
10513,890,500,0,0,0,4,1,432,0
10644,784,500,1,0,0,4,1,0,284
10749,806,500,0,0,1,2,1,215,0
10930,857,500,1,0,0,1,3,0,358
11074,714,500,1,0,0,1,3,0,214
11087,971,500,1,0,1,2,4,0,201
11097,710,500,1,0,2,3,3,121,210
11272,631,500,0,0,3,4,0,195,0
11324,724,500,1,0,0,2,1,0,224
11344,963,500,1,0,1,3,2,0,204
11426,1132,500,2,0,1,3,3,1,471
11462,593,500,0,0,2,4,0,454,0
11483,914,500,1,0,3,5,1,0,415
11492,906,500,1,0,4,6,1,0,406
11719,684,500,0,0,1,4,1,344,0
12070,500,500,0,0,0,0,0,334,0
12155,603,500,1,0,0,0,1,0,103
12389,514,500,0,0,0,0,1,15,0
12434,563,500,1,0,0,0,2,261,63
12541,529,500,0,0,0,0,3,364,0
12623,525,500,1,0,0,0,0,0,25
12638,519,500,1,0,0,1,0,491,19
12688,5500,5500,0,2,0,0,0,460,0
12848,555,500,0,0,0,0,1,55,0
12869,599,500,1,0,0,1,0,0,99
13093,500,500,0,0,0,0,0,315,0
13328,575,500,0,0,0,0,3,75,0
13340,597,500,1,0,0,1,0,31,97
13556,537,500,0,0,0,0,3,354,0
13669,609,500,1,0,0,0,3,1,108
13716,561,500,1,0,0,1,0,0,62
13856,547,500,0,0,0,0,2,54,0
13902,566,500,1,0,0,1,1,0,66
14161,500,500,0,0,0,0,0,244,0
14356,547,500,0,0,0,0,4,54,0
14381,576,500,1,0,0,1,0,11,76
14491,607,500,1,0,0,0,4,1,106
14505,592,500,1,0,0,1,1,0,93
14675,500,500,0,0,0,0,0,234,0
14885,518,500,0,0,0,0,1,24,0
14906,592,500,1,0,0,0,3,0,92
14946,562,500,1,0,0,1,2,90,62
15016,5532,5500,0,2,0,0,0,89,0
15070,507,500,1,0,0,0,0,421,7
15174,501,500,0,0,0,0,0,234,0
15206,601,500,1,0,0,0,2,1,101
15443,500,500,0,0,0,0,0,0,0
15712,500,500,0,0,0,0,0,234,0
15798,610,500,1,0,0,0,5,10,110
16088,500,500,0,0,0,0,0,0,0
16558,500,500,0,0,0,0,0,30,0
16699,500,500,0,0,0,0,0,0,0
16852,605,500,1,0,0,0,5,1,105
17216,500,500,0,0,0,0,0,0,0
17236,500,500,0,0,0,0,0,487,0
17265,603,500,1,0,0,0,4,0,103
17280,677,500,1,0,0,1,4,0,88
17285,583,500,1,0,1,2,1,0,83
17287,590,500,1,0,2,3,1,11,90
17431,607,500,1,0,0,1,1,0,107
17510,5858,5500,0,2,0,1,0,410,0
17535,681,500,0,0,0,2,0,205,0
17988,500,500,0,0,0,0,0,228,0
18144,572,500,0,0,0,0,5,77,0
18223,524,500,1,0,0,0,0,11,24
18261,537,500,1,0,0,0,3,5070,37
18301,566,500,1,0,0,0,0,5001,66
18302,566,500,1,0,0,1,0,0,66
18510,500,500,0,0,0,0,0,207,0
18770,500,500,0,0,0,0,0,0,0
18818,5500,5500,0,2,0,0,0,4550,0
19367,500,500,0,0,0,0,0,0,0
19381,500,500,0,0,0,0,0,488,0
19447,601,500,1,0,0,0,4,3820,101
19677,620,500,1,0,0,0,3,1,120
19678,619,500,1,0,0,1,3,3571,119
19958,500,500,0,0,0,0,0,0,0
19971,500,500,0,0,0,0,0,489,0
20001,617,500,1,0,0,0,2,0,117
20113,555,500,1,0,0,1,0,3200,55
20312,605,500,1,0,0,0,2,201,105
20331,787,500,1,0,0,1,1,201,86
20376,551,500,1,0,1,2,0,2941,51
20456,502,500,0,0,0,1,0,30,0
20786,5502,5500,0,2,0,0,0,2589,0
20836,500,500,0,0,0,0,0,129,0
20956,5511,5500,0,2,0,0,2,2419,0
21336,500,500,0,0,0,0,0,0,0
21383,500,500,0,0,0,0,0,457,0
21571,607,500,1,0,0,0,3,1690,107
21862,5816,5500,0,2,0,0,37,1509,0
21898,6970,5500,0,2,0,1,64,1470,0
22256,500,500,0,0,0,1,0,0,0
22373,500,500,0,0,0,1,0,387,0
22374,604,500,1,0,0,1,2,0,104
22478,519,500,1,0,0,2,0,481,19
22715,541,500,0,0,0,1,0,258,0
22899,500,500,0,0,0,1,0,382,0
23065,602,500,1,0,0,1,2,11,102
23078,600,500,1,0,0,2,0,0,100
23340,500,500,0,0,0,1,0,0,0
23359,540,500,0,0,0,1,0,499,0
23404,6414,5500,0,2,0,0,74,5468,0
24149,500,500,0,0,0,1,0,0,0
24274,500,500,0,0,0,1,0,380,0
24632,517,500,0,0,0,0,1,20,0
25028,500,500,0,0,0,0,0,121,0
25064,585,500,0,0,0,0,2,90,0
25260,607,500,1,0,0,0,2,11,107
25384,604,500,1,0,0,0,1,0,104
25482,546,500,0,0,0,1,0,260,0
25764,500,500,0,0,0,0,0,0,0
25963,565,500,0,0,0,0,2,306,0
26112,605,500,1,0,0,0,2,11,105
26170,5618,5500,0,2,0,1,0,2739,0
26171,557,500,1,0,0,2,0,0,57
26326,500,500,0,0,0,0,0,0,0
26558,500,500,0,0,0,0,0,268,0
26645,602,500,1,0,0,0,2,2121,102
26647,679,500,0,0,0,1,2,179,0
26849,619,500,1,0,0,0,2,0,119
26877,600,500,1,0,0,1,0,491,100
27091,500,500,0,0,0,0,0,267,0
27180,5567,5500,0,2,0,0,0,1776,0
27357,500,500,0,0,0,0,0,0,0
27474,614,500,1,0,0,0,2,0,114
27611,500,500,0,0,0,0,0,249,0
27645,602,500,1,0,0,0,2,341,102
27760,538,500,1,0,0,0,0,1070,38
28082,500,500,0,0,0,0,0,0,0
28286,500,500,0,0,0,0,0,303,0
28353,605,500,1,0,0,0,3,1,104
28414,543,500,1,0,0,1,0,0,44
28656,500,500,0,0,0,0,0,0,0
28729,5619,5500,0,2,0,0,0,139,0
28739,547,500,0,0,0,1,1,417,0
28881,627,500,1,0,0,0,3,0,127
28932,1076,500,1,0,0,1,2,0,76
28969,609,500,1,0,1,2,2,1,108
29010,1067,500,1,0,0,2,0,1,67
29050,527,500,1,0,1,3,0,0,28
29057,599,500,0,0,2,4,0,105,0
29105,681,500,0,0,0,3,0,77,0
29119,1037,500,0,0,1,4,1,50,0
29153,1045,500,1,0,2,5,1,0,545
29266,1020,500,0,0,2,5,1,499,0
29827,611,500,1,0,0,0,1,70,111
29929,699,500,1,0,0,1,2,0,199
29959,979,500,1,0,0,1,4,0,169
30078,578,500,0,0,1,2,1,78,0
30164,533,500,1,0,0,1,0,1,33
30225,561,500,0,0,0,1,1,437,0
30244,594,500,1,0,0,2,0,0,94
30273,924,500,1,0,1,3,1,0,65
30318,838,500,0,0,1,3,0,369,0
30335,951,500,0,0,2,4,1,337,0
30439,909,500,1,0,1,3,2,0,409
30468,970,500,1,0,2,4,2,0,380
30495,1353,500,1,0,3,5,2,0,353
30538,1400,500,1,0,4,6,2,0,310
30584,864,500,1,0,5,7,2,0,364
30748,949,500,1,0,5,6,1,0,200
30813,843,500,0,0,5,6,1,369,0
30987,799,500,0,0,0,4,0,207,0
31091,967,500,1,0,1,5,1,0,467
31107,1090,500,1,0,2,6,1,0,451
31184,1374,500,1,0,2,6,1,0,374
31303,1365,500,2,0,2,5,2,290,865
31458,698,500,0,0,3,4,0,198,0
31493,793,500,0,0,4,5,0,197,0
31513,885,500,1,0,5,6,2,60,385
31909,549,500,1,0,0,2,1,0,49
32082,574,500,0,0,0,1,0,87,0
32299,500,500,0,0,0,0,0,358,0
32739,500,500,0,0,0,0,0,0,0
32775,524,500,0,0,0,0,6,470,0
32809,568,500,1,0,0,0,0,1,68
32860,5517,5500,0,2,0,1,0,88,0
32879,519,500,1,0,0,0,3,0,19
32898,590,500,1,0,0,1,0,410,90
33358,500,500,0,0,0,0,0,0,0
33438,500,500,0,0,0,0,0,420,0
33452,5516,5500,0,2,0,0,3,9,0
33507,601,500,1,0,0,0,4,5360,101
33580,1028,500,1,0,0,1,3,5360,28
33605,503,500,1,0,1,2,0,5360,3
33614,504,500,1,0,0,1,0,0,4
33674,613,500,1,0,0,1,1,331,113
33689,5919,5500,0,2,0,2,0,5280,0
33970,500,500,0,0,0,2,0,0,0
34149,500,500,0,0,0,0,0,321,0
34159,619,500,1,0,0,0,1,0,119
34350,608,500,1,0,0,0,2,4510,108
34368,599,500,1,0,0,1,0,311,99
34626,500,500,0,0,0,0,0,0,0
34688,500,500,0,0,0,0,0,438,0
34762,606,500,1,0,0,0,2,4100,106
34873,525,500,1,0,0,0,0,0,25
35062,564,500,0,0,0,0,2,67,0
