Arrival Time,Time in System,Request Service Time,Steal Count,Original Queue,Queue Length,Total Queue Length,Queue Checks,Time Left of Task Ahead,Requeue Wait Time
334,501,500,0,0,0,0,0,0,0
491,500,500,0,0,0,0,0,349,0
608,607,500,1,0,0,0,7,0,107
698,517,500,1,0,0,1,0,0,17
761,574,500,0,0,0,0,5,79,0
1110,500,500,0,0,0,0,0,229,0
1123,601,500,1,0,0,0,7,0,102
1130,595,500,1,0,0,1,5,0,95
1211,513,500,1,0,1,2,2,0,14
1312,513,500,1,0,0,0,1,0,13
1437,500,500,0,0,0,0,0,0,0
1523,587,500,0,0,0,0,3,421,0
1708,607,500,1,0,0,0,6,10,107
1796,5529,5500,0,2,0,1,0,99,0
1878,559,500,0,0,0,0,5,61,0
2184,500,500,0,0,0,0,0,253,0
2384,553,500,0,0,0,0,6,53,0
2485,509,500,1,0,0,0,1,1,9
2591,593,500,0,0,0,0,5,351,0
2674,520,500,1,0,0,1,0,1,20
2718,607,500,1,0,0,0,4,0,107
3069,500,500,0,0,0,0,0,0,0
3300,500,500,0,0,0,0,0,273,0
3352,602,500,1,0,0,0,6,11,102
3471,504,500,1,0,0,0,3,0,4
3763,500,500,0,0,0,0,0,0,0
3848,5507,5500,0,2,0,0,1,9,0
3879,500,500,0,0,0,0,0,387,0
4041,603,500,1,0,0,0,5,5211,103
4154,501,500,1,0,0,0,1,0,1
4217,546,500,0,0,0,0,2,47,0
4296,529,500,1,0,0,0,1,330,29
4298,857,500,1,0,0,1,2,330,27
4323,511,500,1,0,1,2,0,5021,11
4329,505,500,1,0,0,2,0,5021,5
4331,548,500,0,0,1,3,0,433,0
4408,855,500,0,0,0,1,0,383,0
4423,950,500,1,0,0,2,4,4481,451
4656,717,500,1,0,1,2,4,4481,218
4761,613,500,1,0,2,3,4,4481,113
4777,602,500,0,0,2,3,3,488,0
4861,584,500,1,0,3,4,0,210,84
5035,728,500,0,0,0,0,1,262,0
5068,697,500,1,0,0,1,1,0,197
5104,841,500,1,0,1,2,4,0,161
5233,646,500,0,0,2,3,0,97,0
5257,836,500,1,0,3,4,3,3762,336
5550,553,500,1,0,0,1,0,3752,53
5697,566,500,0,0,0,0,1,68,0
5818,561,500,0,0,0,0,2,447,0
5866,558,500,1,0,0,1,0,3431,58
6048,617,500,1,0,0,0,4,10,117
6053,612,500,1,0,0,1,4,10,112
6069,1096,500,1,0,1,2,3,10,96
6074,639,500,1,0,2,3,3,3142,139
6098,625,500,1,0,3,4,2,3132,125
6329,500,500,0,0,0,1,0,0,0
6415,5509,5500,0,2,0,1,0,2975,0
6453,500,500,0,0,0,1,0,404,0
6504,771,500,1,0,0,1,3,390,271
6534,1131,500,1,0,0,2,3,390,241
6568,1207,500,1,0,1,3,3,390,207
6589,740,500,0,0,2,4,3,260,0
6632,701,500,1,0,3,5,3,2522,201
6696,1129,500,1,0,4,5,2,2522,137
6812,521,500,1,0,2,5,0,2522,21
6921,532,500,0,0,0,3,0,495,0
6955,874,500,0,0,0,3,0,375,0
6968,975,500,1,0,0,4,2,1912,475
7082,861,500,1,0,1,5,2,1912,361
7104,1221,500,1,0,2,6,2,1912,339
7246,707,500,0,0,3,6,2,163,0
7433,842,500,1,0,3,4,1,0,342
7456,5987,5500,0,2,0,2,0,1901,0
7535,740,500,1,0,0,3,1,0,240
7610,719,500,0,0,1,4,1,293,0
7844,609,500,0,0,0,1,1,499,0
7916,637,500,1,0,0,2,1,1302,137
7964,861,500,1,0,0,1,1,1302,89
8049,780,500,0,0,1,2,2,364,0
8056,829,500,1,0,0,2,2,0,329
8068,827,500,1,0,1,3,2,490,327
8391,562,500,0,0,0,1,0,443,0
8506,667,500,1,0,0,0,1,682,167
8653,672,500,1,0,0,1,0,682,20
8655,674,500,0,0,1,2,0,175,0
8667,6006,5500,0,2,0,3,0,699,0
8698,755,500,0,0,0,3,2,155,0
8704,790,500,1,0,1,4,2,0,291
8808,6017,5500,0,2,1,5,0,650,0
8882,613,500,1,0,1,4,2,0,113
8937,892,500,0,0,2,5,0,423,0
8945,5910,5500,0,2,1,6,0,417,0
9063,890,500,0,0,0,4,0,333,0
9144,960,500,1,0,1,5,2,0,461
9154,951,500,1,0,2,6,2,0,451
9336,993,500,0,0,2,4,2,499,0
9448,1005,500,0,0,3,4,2,473,0
9454,7970,5500,0,2,0,4,5,5401,0
9665,1050,500,1,0,1,3,2,1,549
9736,1478,500,1,0,2,4,2,1,478
9763,9180,5500,0,2,0,5,13,5118,0
9817,1398,500,1,0,3,6,2,1,397
