Arrival Time,Time in System,Request Service Time,Steal Count,Original Queue,Queue Length,Total Queue Length,Queue Checks,Time Left of Task Ahead,Requeue Wait Time,job_id,tasks_num_of_single_job,task_generation_time,completion_time
1227,50,50,0,0,0,0,0,0,0,0,82,1116,1276
1233,500,500,0,0,0,0,0,44,0,0,82,1116,1732
1241,52,50,1,0,0,0,6,1,2,0,82,1116,1292
1263,5000,5000,0,1,0,0,0,0,0,0,82,1116,6262
1302,5001,5000,0,1,0,0,4,4961,0,0,82,1116,6302
1339,50,50,0,0,0,0,0,0,0,0,82,1116,1388
1340,51,50,1,0,0,0,2,0,2,0,82,1116,1390
1408,50,50,0,0,0,0,0,0,0,0,82,1116,1457
1521,50,50,0,0,0,0,0,0,0,0,82,1116,1570
1716,50,50,0,0,0,0,0,0,0,1,85,1583,1765
1903,50,50,0,0,0,0,0,0,0,1,85,1583,1952
1910,5002,5000,1,1,0,0,4,0,2,1,85,1583,6911
1913,5002,5000,1,1,0,0,3,4997,2,1,85,1583,6914
1986,5002,5000,1,1,0,0,2,4924,2,1,85,1583,6987
2017,50,50,0,0,0,0,0,0,0,1,85,1583,2066
2048,50,50,0,0,0,0,0,19,0,1,85,1583,2097
2071,50,50,0,0,0,0,0,0,0,1,85,1583,2120
2075,5002,5000,1,1,0,0,1,4835,2,1,85,1583,7076
2218,50,50,0,0,0,0,0,0,0,2,85,2118,2267
2294,50,50,0,0,0,0,0,0,0,2,85,2118,2343
2310,50,50,0,0,0,0,0,34,0,2,85,2118,2359
2419,50,50,0,0,0,0,0,0,0,2,85,2118,2468
2422,50,50,0,0,0,0,0,47,0,2,85,2118,2471
2425,5002,5000,1,1,0,0,1,4485,2,2,85,2118,7426
2589,50,50,0,0,0,0,0,0,0,2,85,2118,2638
2599,8664,5000,0,1,0,0,0,3664,0,2,85,2118,11262
3986,7317,5000,0,1,0,1,0,2277,0,3,89,3851,11302
4020,500,500,0,0,0,2,0,0,0,3,89,3851,4519
4079,7835,5000,1,1,1,2,1,0,2835,3,89,3851,11913
4139,50,50,0,0,0,3,0,381,0,3,89,3851,4188
4160,79,50,0,0,0,3,0,360,0,3,89,3851,4238
4346,500,500,0,0,0,3,0,174,0,3,89,3851,4845
6203,500,500,0,0,0,3,0,0,0,4,85,6078,6702
6269,500,500,0,0,0,2,0,434,0,4,85,6078,6768
6313,5602,5000,1,1,0,1,1,0,601,4,85,6078,11914
6336,417,50,0,0,0,2,0,367,0,4,85,6078,6752
6351,5637,5000,1,1,1,3,1,0,563,4,85,6078,11987
6387,416,50,0,0,0,4,0,316,0,4,85,6078,6802
6453,366,50,0,0,1,5,0,250,0,4,85,6078,6818
6454,5625,5000,1,1,2,6,2,4835,625,4,85,6078,12078
6458,395,50,0,0,2,7,0,245,0,4,85,6078,6852
6503,366,50,0,0,3,8,0,200,0,4,85,6078,6868
6525,5905,5000,1,1,3,9,3,4484,905,4,85,6078,12429
6565,788,500,0,0,4,10,0,138,0,4,85,6078,7352
9863,50,50,0,0,0,0,0,0,0,5,85,9708,9912
