[2867, 1859]
[74, 2212]
[3, 2807]
[143, 2977]
[1334, 3078]
[512, 3974]
[854, 4630]
[4311, 5562]
[1095, 5562]
[591, 6083]
[346, 6351]
[1299, 6480]
[1068, 6972]
[1002, 8686]
[240, 9149]
[118, 10019]
[216, 10130]
[2987, 11622]
[3257, 11638]
[2698, 12211]
[484, 12220]
[184, 12441]
[1925, 12702]
[1234, 12780]
[1812, 13078]
[936, 13830]
[383, 14493]
[981, 15439]
[185, 16502]
[2667, 16577]
[1069, 16716]
[1049, 16920]
[458, 17039]
[509, 17053]
[466, 17109]
[440, 17186]
[333, 17417]
[332, 18983]
[528, 19936]
[69, 20611]
[1912, 20723]
[513, 20814]
[2099, 20931]
[574, 21119]
[2292, 21312]
[637, 21551]
[166, 21634]
[306, 21880]
[643, 22132]
[228, 22162]
[924, 22172]
[21, 22393]
[176, 23224]
[1224, 23932]
[1703, 24030]
[280, 24265]
[2370, 24793]
[2127, 25063]
[809, 25406]
[928, 25511]
[816, 26864]
[2048, 26944]
[277, 27020]
[1192, 27069]
[1122, 27245]
[1777, 27859]
[1486, 28265]
[725, 28435]
[1599, 29097]
[320, 29122]
[537, 29262]
[1559, 29349]
[864, 31509]
[1107, 31534]
[590, 31586]
[516, 31955]
[1121, 32549]
[56, 33901]
[292, 34412]
[694, 34419]
[459, 35132]
[318, 35664]
[406, 38151]
[614, 38600]
[21, 38950]
[2071, 38991]
[993, 39057]
[1107, 39317]
[577, 39494]
[1310, 39718]
[1332, 39994]
[285, 40252]
[2613, 40617]
[238, 41166]
[3840, 41214]
[165, 41325]
[1929, 41405]
[2629, 42174]
[39, 42457]
[1330, 42552]
[3592, 42635]
[845, 42950]
[422, 43473]
[237, 43670]
[2656, 43858]
[39, 43881]
[1081, 43960]
[2239, 44432]
[597, 45082]
[141, 45116]
[984, 45816]
[117, 46226]
[396, 46650]
[2118, 46714]
[217, 46764]
[284, 46904]
[1220, 46972]
[1055, 47188]
[194, 48374]
[1505, 48719]
[4095, 49448]
[1693, 49906]
[268, 50334]
[7317, 50470]
[102, 50565]
[68, 50892]
[720, 51396]
[1183, 51623]
[652, 52298]
[451, 52514]
[63, 52514]
[1085, 52856]
[2178, 54000]
[2124, 54296]
[407, 54923]
[2880, 55599]
[103, 55905]
[612, 55925]
[2370, 57442]
[6130, 57854]
[403, 58589]
[800, 58723]
[708, 58729]
[1216, 59308]
[1091, 59737]
[1147, 60142]
[17, 61657]
[3010, 61922]
[836, 63438]
[3002, 63481]
[117, 63689]
[479, 64122]
[170, 64176]
[501, 64440]
[325, 64482]
[1734, 64638]
[198, 65865]
[440, 66547]
[314, 66717]
[87, 66725]
[29, 67478]
[3638, 67735]
[507, 67792]
[536, 67992]
[2290, 68650]
[1063, 68679]
[941, 68849]
[87, 68911]
[713, 69566]
[1093, 70855]
[28, 70874]
[27, 70999]
[703, 71813]
[1367, 72187]
[191, 72215]
[836, 72550]
[3459, 72854]
[311, 73323]
[814, 74021]
[477, 74055]
[555, 74393]
[625, 74496]
[546, 75736]
[1496, 75863]
[1917, 77428]
[1451, 77637]
[16, 77742]
[128, 77977]
[1907, 78523]
[906, 80336]
[268, 80492]
[853, 81024]
[704, 81271]
[20, 83001]
[603, 83409]
[818, 83924]
[287, 83972]
[407, 84574]
[285, 84585]
[859, 84693]
[1215, 85316]
[619, 85614]
[435, 86286]
[187, 86378]
[1216, 87274]
[605, 88154]
[40, 88358]
[1306, 89415]
[1103, 89601]
[1067, 89985]
[1021, 90451]
[339, 91034]
[450, 91125]
[3, 91155]
[237, 91234]
[376, 91270]
[2074, 91864]
[10, 92275]
[366, 92325]
[301, 92632]
[814, 93614]
[3123, 94107]
[462, 94584]
[2607, 95569]
[561, 96387]
[976, 96801]
[227, 96858]
[2, 98073]
[2942, 98155]
[1377, 98203]
[1089, 98255]
[891, 98663]
[751, 98825]
[2736, 99230]
[29, 100068]
[673, 100793]
[355, 100842]
[770, 101606]
[329, 101728]
[365, 101814]
[395, 102993]
[1153, 103152]
[504, 103547]
[1845, 103773]
[553, 104038]
[167, 104562]
[2230, 104922]
[121, 105236]
[163, 106541]
[277, 106809]
[461, 106861]
[853, 107325]
[1015, 107346]
[570, 107398]
[3643, 107448]
[1314, 107906]
[3122, 108876]
[32, 108946]
[111, 110200]
[49, 110204]
[811, 110262]
[1458, 110644]
[1962, 110712]
[1953, 110794]
[110, 110840]
[2627, 111589]
[292, 111963]
[1560, 112266]
[897, 112550]
[627, 113777]
[207, 114413]
[619, 115029]
[12, 116357]
[931, 117930]
[1079, 118029]
[80, 118056]
[1483, 118223]
[2560, 118224]
[130, 118245]
[1113, 118514]
[1900, 119384]
[1718, 119883]
[1317, 120271]
[1095, 120323]
[2785, 120803]
[1533, 122715]
[770, 124696]
[12, 124837]
[1063, 124872]
[99, 125022]
[1472, 125251]
[410, 125308]
[2116, 125350]
[228, 125669]
[917, 126637]
[27, 127462]
[48, 129024]
[680, 129301]
[23, 129793]
[337, 131357]
[450, 131880]
[286, 131901]
[465, 132597]
[1452, 133869]
[521, 134042]
[697, 134056]
[24, 134560]
[586, 135494]
[672, 136437]
[137, 136899]
[527, 136950]
[246, 137353]
[441, 138091]
[152, 138289]
[48, 138345]
[971, 139348]
[911, 139489]
[324, 139927]
[647, 140023]
[319, 141369]
[905, 142308]
[326, 142465]
[1568, 142871]
[273, 144174]
[1177, 144285]
[1456, 145034]
[169, 145540]
[669, 147823]
[136, 148314]
[216, 149551]
[888, 150933]
[1452, 151562]
[1523, 153143]
[644, 153975]
[2539, 154049]
[10, 155838]
